Person_ID,split,cv_fold
P00001,development,4
P00002,development,1
P00003,development,2
P00004,development,2
P00005,development,2
P00006,development,2
P00007,holdout,-1
P00008,development,2
P00009,holdout,-1
P00010,development,0
P00011,development,2
P00012,development,2
P00013,development,1
P00014,development,2
P00015,holdout,-1
P00016,development,1
P00017,holdout,-1
P00018,development,4
P00019,development,0
P00020,development,2
P00021,development,1
P00022,development,2
P00023,holdout,-1
P00024,development,0
P00025,development,1
P00026,development,1
P00027,holdout,-1
P00028,development,0
P00029,development,0
P00030,development,1
P00031,development,3
P00032,development,3
P00033,development,0
P00034,holdout,-1
P00035,development,1
P00036,development,4
P00037,development,1
P00038,development,0
P00039,development,0
P00040,development,3
P00041,development,0
P00042,development,2
P00043,development,2
P00044,development,4
P00045,development,2
P00046,development,4
P00047,development,0
P00048,development,3
P00049,development,1
P00050,development,1
P00051,development,3
P00052,development,2
P00053,development,3
P00054,development,1
P00055,holdout,-1
P00056,development,4
P00057,development,3
P00058,development,4
P00059,development,0
P00060,development,2
P00061,holdout,-1
P00062,development,3
P00063,holdout,-1
P00064,development,4
P00065,development,2
P00066,development,3
P00067,development,2
P00068,development,4
P00069,development,1
P00070,development,2
P00071,development,0
P00072,development,2
P00073,development,0
P00074,development,1
P00075,development,2
P00076,development,3
P00077,development,4
P00078,holdout,-1
P00079,holdout,-1
P00080,development,3
P00081,development,4
P00082,development,4
P00083,holdout,-1
P00084,development,4
P00085,holdout,-1
P00086,development,0
P00087,development,3
P00088,development,4
P00089,development,3
P00090,holdout,-1
P00091,holdout,-1
P00092,development,4
P00093,holdout,-1
P00094,development,4
P00095,holdout,-1
P00096,holdout,-1
P00097,holdout,-1
P00098,development,0
P00099,development,4
P00100,development,2
P00101,development,1
P00102,development,3
P00103,development,0
P00104,holdout,-1
P00105,development,3
P00106,development,0
P00107,development,4
P00108,development,4
P00109,development,0
P00110,development,3
P00111,development,0
P00112,development,0
P00113,development,2
P00114,holdout,-1
P00115,development,0
P00116,development,2
P00117,holdout,-1
P00118,development,0
P00119,development,1
P00120,development,2
P00121,holdout,-1
P00122,development,4
P00123,development,3
P00124,development,1
P00125,development,3
P00126,development,3
P00127,development,3
P00128,development,0
P00129,development,4
P00130,development,0
P00131,development,2
P00132,holdout,-1
P00133,development,4
P00134,development,1
P00135,holdout,-1
P00136,development,2
P00137,development,0
P00138,holdout,-1
P00139,development,3
P00140,development,3
P00141,development,0
P00142,development,2
P00143,development,1
P00144,holdout,-1
P00145,development,4
P00146,development,1
P00147,holdout,-1
P00148,development,3
P00149,development,3
P00150,development,0
P00151,development,0
P00152,development,3
P00153,development,0
P00154,development,1
P00155,development,3
P00156,development,0
P00157,development,4
P00158,development,4
P00159,development,2
P00160,development,3
P00161,holdout,-1
P00162,development,3
P00163,development,3
P00164,development,0
P00165,development,0
P00166,development,2
P00167,development,2
P00168,development,1
P00169,development,3
P00170,development,4
P00171,development,2
P00172,development,1
P00173,development,3
P00174,development,4
P00175,development,0
P00176,holdout,-1
P00177,development,1
P00178,development,0
P00179,development,3
P00180,development,2
P00181,development,3
P00182,development,2
P00183,development,3
P00184,development,3
P00185,development,2
P00186,development,4
P00187,holdout,-1
P00188,holdout,-1
P00189,development,2
P00190,development,0
P00191,development,0
P00192,development,4
P00193,development,4
P00194,development,2
P00195,holdout,-1
P00196,holdout,-1
P00197,development,3
P00198,development,0
P00199,development,2
P00200,development,3
P00201,holdout,-1
P00202,development,0
P00203,holdout,-1
P00204,development,2
P00205,development,1
P00206,development,4
P00207,development,2
P00208,holdout,-1
P00209,holdout,-1
P00210,development,2
P00211,development,1
P00212,development,1
P00213,holdout,-1
P00214,development,0
P00215,development,2
P00216,development,0
P00217,development,4
P00218,development,4
P00219,development,4
P00220,development,2
P00221,holdout,-1
P00222,development,1
P00223,development,2
P00224,development,4
P00225,holdout,-1
P00226,development,2
P00227,holdout,-1
P00228,development,2
P00229,holdout,-1
P00230,development,4
P00231,holdout,-1
P00232,development,1
P00233,holdout,-1
P00234,holdout,-1
P00235,holdout,-1
P00236,development,0
P00237,development,1
P00238,development,1
P00239,development,1
P00240,holdout,-1
P00241,holdout,-1
P00242,development,2
P00243,development,3
P00244,development,4
P00245,development,0
P00246,development,1
P00247,holdout,-1
P00248,development,3
P00249,development,3
P00250,development,1
P00251,development,2
P00252,development,4
P00253,development,4
P00254,development,4
P00255,development,2
P00256,development,1
P00257,development,1
P00258,development,4
P00259,holdout,-1
P00260,development,0
P00261,holdout,-1
P00262,development,0
P00263,development,4
P00264,development,4
P00265,development,1
P00266,development,0
P00267,development,4
P00268,holdout,-1
P00269,holdout,-1
P00270,development,3
P00271,development,4
P00272,development,2
P00273,development,0
P00274,development,3
P00275,development,3
P00276,development,1
P00277,development,4
P00278,holdout,-1
P00279,development,4
P00280,development,2
P00281,development,2
P00282,holdout,-1
P00283,development,3
P00284,development,0
P00285,development,0
P00286,development,4
P00287,development,4
P00288,development,4
P00289,development,4
P00290,development,3
P00291,development,0
P00292,development,0
P00293,development,0
P00294,development,1
P00295,development,2
P00296,development,4
P00297,holdout,-1
P00298,development,0
P00299,development,1
P00300,development,1
P00301,development,2
P00302,development,0
P00303,development,3
P00304,holdout,-1
P00305,development,3
P00306,holdout,-1
P00307,development,0
P00308,holdout,-1
P00309,development,1
P00310,holdout,-1
P00311,holdout,-1
P00312,development,4
P00313,development,4
P00314,development,0
P00315,development,3
P00316,development,2
P00317,development,0
P00318,holdout,-1
P00319,development,3
P00320,development,0
P00321,development,4
P00322,development,2
P00323,development,2
P00324,holdout,-1
P00325,development,4
P00326,development,0
P00327,development,4
P00328,development,2
P00329,holdout,-1
P00330,development,4
P00331,development,4
P00332,holdout,-1
P00333,development,0
P00334,development,4
P00335,holdout,-1
P00336,development,1
P00337,holdout,-1
P00338,development,0
P00339,development,1
P00340,development,2
P00341,development,4
P00342,holdout,-1
P00343,development,3
P00344,development,2
P00345,holdout,-1
P00346,holdout,-1
P00347,holdout,-1
P00348,development,1
P00349,development,1
P00350,holdout,-1
P00351,holdout,-1
P00352,development,2
P00353,development,0
P00354,development,3
P00355,development,4
P00356,development,3
P00357,development,0
P00358,holdout,-1
P00359,development,3
P00360,holdout,-1
P00361,holdout,-1
P00362,development,3
P00363,development,3
P00364,development,3
P00365,development,2
P00366,development,3
P00367,development,0
P00368,development,1
P00369,development,2
P00370,development,4
P00371,development,0
P00372,development,0
P00373,development,1
P00374,development,3
P00375,development,1
P00376,holdout,-1
P00377,development,4
P00378,holdout,-1
P00379,development,1
P00380,development,2
P00381,holdout,-1
P00382,development,2
P00383,development,1
P00384,development,3
P00385,development,0
P00386,development,3
P00387,development,0
P00388,development,4
P00389,holdout,-1
P00390,holdout,-1
P00391,development,0
P00392,development,1
P00393,development,4
P00394,development,2
P00395,development,1
P00396,development,2
P00397,holdout,-1
P00398,holdout,-1
P00399,development,2
P00400,development,4
P00401,development,2
P00402,development,4
P00403,development,0
P00404,development,0
P00405,holdout,-1
P00406,development,1
P00407,development,3
P00408,holdout,-1
P00409,development,4
P00410,development,2
P00411,development,0
P00412,development,0
P00413,development,4
P00414,development,4
P00415,development,3
P00416,development,1
P00417,development,4
P00418,development,4
P00419,development,1
P00420,development,0
P00421,development,4
P00422,development,0
P00423,development,1
P00424,development,0
P00425,development,3
P00426,development,3
P00427,development,0
P00428,development,0
P00429,development,1
P00430,development,2
P00431,development,0
P00432,development,1
P00433,development,0
P00434,development,0
P00435,holdout,-1
P00436,development,4
P00437,development,2
P00438,development,0
P00439,development,0
P00440,development,1
P00441,development,3
P00442,development,2
P00443,development,2
P00444,holdout,-1
P00445,development,4
P00446,development,2
P00447,holdout,-1
P00448,development,0
P00449,development,2
P00450,development,1
P00451,development,0
P00452,development,2
P00453,development,2
P00454,development,4
P00455,development,4
P00456,development,4
P00457,development,2
P00458,development,1
P00459,development,4
P00460,development,4
P00461,development,2
P00462,development,4
P00463,holdout,-1
P00464,holdout,-1
P00465,holdout,-1
P00466,holdout,-1
P00467,development,2
P00468,holdout,-1
P00469,development,3
P00470,development,4
P00471,development,1
P00472,development,1
P00473,development,0
P00474,development,4
P00475,holdout,-1
P00476,development,2
P00477,holdout,-1
P00478,development,0
P00479,development,3
P00480,development,4
P00481,holdout,-1
P00482,development,1
P00483,development,1
P00484,development,3
P00485,holdout,-1
P00486,development,0
P00487,holdout,-1
P00488,development,1
P00489,development,1
P00490,development,0
P00491,development,2
P00492,development,4
P00493,development,2
P00494,development,1
P00495,development,3
P00496,development,2
P00497,development,3
P00498,holdout,-1
P00499,development,0
P00500,development,2
P00501,development,4
P00502,development,1
P00503,development,1
P00504,holdout,-1
P00505,holdout,-1
P00506,development,4
P00507,holdout,-1
P00508,holdout,-1
P00509,development,3
P00510,development,0
P00511,development,0
P00512,development,2
P00513,holdout,-1
P00514,development,0
P00515,development,2
P00516,development,2
P00517,development,0
P00518,holdout,-1
P00519,development,3
P00520,development,4
P00521,development,2
P00522,development,3
P00523,development,0
P00524,development,4
P00525,holdout,-1
P00526,development,4
P00527,holdout,-1
P00528,development,4
P00529,development,3
P00530,holdout,-1
P00531,holdout,-1
P00532,development,4
P00533,development,1
P00534,development,4
P00535,development,3
P00536,development,0
P00537,development,3
P00538,development,1
P00539,development,3
P00540,development,3
P00541,development,3
P00542,development,1
P00543,development,2
P00544,development,3
P00545,development,3
P00546,development,0
P00547,development,1
P00548,development,2
P00549,development,4
P00550,development,3
P00551,development,3
P00552,development,3
P00553,development,2
P00554,development,2
P00555,development,0
P00556,development,1
P00557,development,4
P00558,development,0
P00559,development,0
P00560,development,3
P00561,development,1
P00562,holdout,-1
P00563,development,4
P00564,development,1
P00565,holdout,-1
P00566,development,2
P00567,holdout,-1
P00568,development,2
P00569,development,4
P00570,development,1
P00571,development,3
P00572,development,4
P00573,development,1
P00574,development,1
P00575,development,1
P00576,development,2
P00577,development,0
P00578,development,2
P00579,development,0
P00580,development,1
P00581,holdout,-1
P00582,holdout,-1
P00583,development,3
P00584,development,1
P00585,holdout,-1
P00586,development,3
P00587,development,3
P00588,holdout,-1
P00589,development,4
P00590,development,1
P00591,holdout,-1
P00592,development,1
P00593,development,1
P00594,development,0
P00595,development,4
P00596,development,1
P00597,development,2
P00598,development,4
P00599,development,3
P00600,development,1
P00601,development,0
P00602,holdout,-1
P00603,development,2
P00604,development,1
P00605,holdout,-1
P00606,development,0
P00607,development,1
P00608,development,0
P00609,development,3
P00610,development,4
P00611,development,0
P00612,holdout,-1
P00613,development,3
P00614,development,3
P00615,development,2
P00616,development,1
P00617,development,3
P00618,development,2
P00619,development,2
P00620,holdout,-1
P00621,development,1
P00622,development,4
P00623,development,4
P00624,development,3
P00625,development,3
P00626,development,2
P00627,holdout,-1
P00628,development,0
P00629,development,1
P00630,development,0
P00631,development,0
P00632,holdout,-1
P00633,development,1
P00634,holdout,-1
P00635,development,2
P00636,development,1
P00637,development,2
P00638,development,0
P00639,development,2
P00640,development,3
P00641,development,3
P00642,development,3
P00643,holdout,-1
P00644,development,4
P00645,development,3
P00646,development,3
P00647,development,3
P00648,development,2
P00649,development,4
P00650,holdout,-1
P00651,development,3
P00652,development,2
P00653,development,0
P00654,holdout,-1
P00655,development,0
P00656,development,3
P00657,development,4
P00658,holdout,-1
P00659,development,0
P00660,development,0
P00661,development,4
P00662,development,2
P00663,holdout,-1
P00664,development,0
P00665,development,3
P00666,development,4
P00667,development,1
P00668,development,3
P00669,development,3
P00670,holdout,-1
P00671,development,2
P00672,development,4
P00673,development,1
P00674,development,1
P00675,development,2
P00676,development,2
P00677,development,1
P00678,development,4
P00679,development,1
P00680,holdout,-1
P00681,development,2
P00682,development,2
P00683,development,3
P00684,development,4
P00685,development,4
P00686,development,1
P00687,development,1
P00688,holdout,-1
P00689,development,3
P00690,development,4
P00691,development,3
P00692,holdout,-1
P00693,development,2
P00694,development,1
P00695,development,1
P00696,holdout,-1
P00697,development,0
P00698,holdout,-1
P00699,development,1
P00700,holdout,-1
P00701,development,0
P00702,development,1
P00703,development,0
P00704,development,1
P00705,holdout,-1
P00706,development,0
P00707,development,1
P00708,holdout,-1
P00709,development,2
P00710,holdout,-1
P00711,development,2
P00712,development,1
P00713,development,3
P00714,development,1
P00715,development,0
P00716,development,3
P00717,development,4
P00718,holdout,-1
P00719,holdout,-1
P00720,development,2
P00721,development,4
P00722,development,1
P00723,development,1
P00724,development,0
P00725,development,1
P00726,development,3
P00727,development,0
P00728,development,4
P00729,holdout,-1
P00730,development,3
P00731,development,4
P00732,development,0
P00733,holdout,-1
P00734,development,0
P00735,development,4
P00736,development,0
P00737,development,3
P00738,holdout,-1
P00739,holdout,-1
P00740,development,0
P00741,development,2
P00742,development,2
P00743,development,2
P00744,development,2
P00745,development,2
P00746,development,0
P00747,development,3
P00748,development,3
P00749,development,0
P00750,development,4
P00751,development,0
P00752,development,0
P00753,holdout,-1
P00754,development,1
P00755,development,1
P00756,development,3
P00757,holdout,-1
P00758,development,4
P00759,development,0
P00760,development,2
P00761,development,2
P00762,development,0
P00763,holdout,-1
P00764,development,0
P00765,development,2
P00766,development,1
P00767,development,0
P00768,development,2
P00769,holdout,-1
P00770,development,4
P00771,development,0
P00772,holdout,-1
P00773,development,4
P00774,development,3
P00775,development,3
P00776,development,1
P00777,development,2
P00778,development,2
P00779,development,2
P00780,holdout,-1
P00781,development,2
P00782,development,4
P00783,development,1
P00784,development,0
P00785,development,1
P00786,development,2
P00787,development,3
P00788,development,2
P00789,development,1
P00790,development,1
P00791,development,1
P00792,development,3
P00793,development,4
P00794,development,0
P00795,development,3
P00796,development,2
P00797,development,4
P00798,development,3
P00799,development,3
P00800,development,4
P00801,holdout,-1
P00802,development,4
