column,dtype,missing_count,missing_rate,unique_count
Person_ID,object,0,0.0,10000
Age,int64,0,0.0,63
Gender,object,0,0.0,3
Height_cm,float64,0,0.0,516
Weight_kg,float64,0,0.0,847
BMI,float64,0,0.0,2045
Country,object,0,0.0,15
Occupation,object,0,0.0,15
Marital_Status,object,0,0.0,4
Wake_Up_Time,object,0,0.0,406
Sleep_Time,object,0,0.0,593
Sleep_Duration_Hours,float64,0,0.0,577
Sleep_Quality_Score,float64,0,0.0,89
Number_of_Night_Awakenings,int64,0,0.0,7
Weekend_Sleep_Difference_Hours,float64,0,0.0,441
Nap_Frequency_Per_Week,int64,0,0.0,8
Screen_Time_Before_Bed_Hours,float64,0,0.0,400
Exercise_Frequency_Per_Week,int64,0,0.0,8
Exercise_Duration_Minutes,int64,0,0.0,111
Exercise_Type,object,824,0.0824,9
Daily_Steps,int64,0,0.0,6404
Morning_Workout,object,0,0.0,2
Workout_Intensity,object,824,0.0824,4
Gym_Member,object,0,0.0,2
Daily_Calorie_Intake,int64,0,0.0,1533
Water_Intake_Liters,float64,0,0.0,297
Fruit_Intake_Per_Day,int64,0,0.0,9
Vegetable_Intake_Per_Day,int64,0,0.0,11
Protein_Intake_Grams,float64,0,0.0,1236
Sugary_Drinks_Per_Week,int64,0,0.0,15
Fast_Food_Meals_Per_Week,int64,0,0.0,15
Breakfast_Regularity_Score,float64,0,0.0,86
Smoking_Status,object,0,0.0,3
Alcohol_Consumption,object,3014,0.3014,4
Stress_Level,float64,0,0.0,91
Working_Hours_Per_Day,float64,0,0.0,159
Sitting_Hours_Per_Day,float64,0,0.0,129
Outdoor_Time_Hours,float64,0,0.0,761
Social_Interaction_Score,float64,0,0.0,91
Meditation_Practice,object,0,0.0,2
Resting_Heart_Rate,int64,0,0.0,52
Systolic_BP,int64,0,0.0,81
Diastolic_BP,int64,0,0.0,63
Cholesterol_Level,float64,0,0.0,1187
Blood_Sugar_Level,float64,0,0.0,651
Energy_Level_Score,float64,0,0.0,69
Fatigue_Level_Score,float64,0,0.0,85
Immune_Health_Score,float64,0,0.0,74
Mood_Score,float64,0,0.0,78
Anxiety_Score,float64,0,0.0,91
Depression_Risk_Score,float64,0,0.0,72
Productivity_Score,float64,0,0.0,71
Focus_Concentration_Score,float64,0,0.0,65
Life_Satisfaction_Score,float64,0,0.0,67
Obesity_Risk,object,0,0.0,3
Hypertension_Risk,object,0,0.0,3
Diabetes_Risk,object,0,0.0,3
Cardiovascular_Risk,object,0,0.0,3
Sleep_Disorder_Risk,object,0,0.0,3
Health_Score,float64,0,0.0,617
Fitness_Level,object,0,0.0,4
Healthy_Aging_Score,float64,0,0.0,691
Wellness_Category,object,0,0.0,4
Early_Waker,object,0,0.0,2
