left,right,correlation,abs_correlation
Health_Score,Healthy_Aging_Score,0.9387560560080862,0.9387560560080862
Working_Hours_Per_Day,Sitting_Hours_Per_Day,0.8722649038622771,0.8722649038622771
Weight_kg,BMI,0.8437704063645286,0.8437704063645286
Exercise_Frequency_Per_Week,Daily_Steps,0.8357593260999473,0.8357593260999473
Systolic_BP,Diastolic_BP,0.8329624670107524,0.8329624670107524
Energy_Level_Score,Fatigue_Level_Score,-0.8119979137544492,0.8119979137544492
Stress_Level,Anxiety_Score,0.7462986156735706,0.7462986156735706
Mood_Score,Life_Satisfaction_Score,0.7055119906691129,0.7055119906691129
Stress_Level,Depression_Risk_Score,0.679654122218336,0.679654122218336
Mood_Score,Anxiety_Score,-0.6716869799577161,0.6716869799577161
Mood_Score,Depression_Risk_Score,-0.6697936800808694,0.6697936800808694
Stress_Level,Mood_Score,-0.6526457262370158,0.6526457262370158
Age,Systolic_BP,0.6348733036467339,0.6348733036467339
Energy_Level_Score,Health_Score,0.6232792049106475,0.6232792049106475
Anxiety_Score,Depression_Risk_Score,0.6207888381375454,0.6207888381375454
Stress_Level,Life_Satisfaction_Score,-0.6146405308494494,0.6146405308494494
Sleep_Quality_Score,Fatigue_Level_Score,-0.6125348677998745,0.6125348677998745
Depression_Risk_Score,Life_Satisfaction_Score,-0.6067941308835401,0.6067941308835401
Mood_Score,Health_Score,0.6014375819979105,0.6014375819979105
Energy_Level_Score,Productivity_Score,0.599036839633203,0.599036839633203
Exercise_Frequency_Per_Week,Protein_Intake_Grams,0.5970988974707517,0.5970988974707517
Energy_Level_Score,Mood_Score,0.5894629214528332,0.5894629214528332
Anxiety_Score,Life_Satisfaction_Score,-0.5869370808378321,0.5869370808378321
Exercise_Frequency_Per_Week,Water_Intake_Liters,0.5847697821510286,0.5847697821510286
Sleep_Quality_Score,Mood_Score,0.5704905754895184,0.5704905754895184
Fatigue_Level_Score,Mood_Score,-0.5503751709304551,0.5503751709304551
Energy_Level_Score,Anxiety_Score,-0.5502832685512564,0.5502832685512564
Fatigue_Level_Score,Health_Score,-0.5499096146227834,0.5499096146227834
Fatigue_Level_Score,Productivity_Score,-0.5420139073439376,0.5420139073439376
Anxiety_Score,Health_Score,-0.5363225883302216,0.5363225883302216
Energy_Level_Score,Healthy_Aging_Score,0.535393611340909,0.535393611340909
Energy_Level_Score,Depression_Risk_Score,-0.5345200689811522,0.5345200689811522
Exercise_Frequency_Per_Week,Energy_Level_Score,0.5328910764144014,0.5328910764144014
Age,Diastolic_BP,0.532325859314412,0.532325859314412
Exercise_Frequency_Per_Week,Health_Score,0.5274634273712708,0.5274634273712708
Fatigue_Level_Score,Depression_Risk_Score,0.5225242770221245,0.5225242770221245
Mood_Score,Productivity_Score,0.5140926735013637,0.5140926735013637
Productivity_Score,Health_Score,0.5137816532552969,0.5137816532552969
Height_cm,Weight_kg,0.5101926812425209,0.5101926812425209
Sleep_Quality_Score,Productivity_Score,0.5098821436098867,0.5098821436098867
Mood_Score,Healthy_Aging_Score,0.5095889429913648,0.5095889429913648
Depression_Risk_Score,Health_Score,-0.5073720858691723,0.5073720858691723
Sleep_Quality_Score,Energy_Level_Score,0.5056263032417524,0.5056263032417524
Energy_Level_Score,Life_Satisfaction_Score,0.5050442109150755,0.5050442109150755
Daily_Steps,Protein_Intake_Grams,0.5041943012477469,0.5041943012477469
Life_Satisfaction_Score,Health_Score,0.5001338726421989,0.5001338726421989
Fatigue_Level_Score,Anxiety_Score,0.49504347951062116,0.49504347951062116
Daily_Steps,Water_Intake_Liters,0.4945291054598878,0.4945291054598878
Exercise_Frequency_Per_Week,Daily_Calorie_Intake,0.49347697947206615,0.49347697947206615
Daily_Steps,Health_Score,0.4896553019697596,0.4896553019697596
BMI,Healthy_Aging_Score,-0.48739521005462433,0.48739521005462433
Sleep_Quality_Score,Health_Score,0.47969966554811305,0.47969966554811305
BMI,Health_Score,-0.47520210877047653,0.47520210877047653
Exercise_Frequency_Per_Week,Outdoor_Time_Hours,0.47389412546544013,0.47389412546544013
Sleep_Quality_Score,Depression_Risk_Score,-0.47162121865638496,0.47162121865638496
Fatigue_Level_Score,Healthy_Aging_Score,-0.47007886109099817,0.47007886109099817
Anxiety_Score,Productivity_Score,-0.469057946736295,0.469057946736295
Stress_Level,Energy_Level_Score,-0.46851400057654,0.46851400057654
Sleep_Quality_Score,Anxiety_Score,-0.4674570936493351,0.4674570936493351
Exercise_Frequency_Per_Week,Healthy_Aging_Score,0.46564439709990435,0.46564439709990435
Anxiety_Score,Healthy_Aging_Score,-0.45790037763329233,0.45790037763329233
Depression_Risk_Score,Productivity_Score,-0.4528706115358914,0.4528706115358914
