model,fold_r2_mean,fold_r2_std,oof_r2,oof_mae,oof_rmse,total_fit_seconds
elastic_alpha_0p001_l1_0p9,0.7781643437580847,0.006807814081694442,0.7783725670589594,0.5968767060535799,0.7478565058022217,0.9904501999953936
elastic_alpha_0p001_l1_0p5,0.777920475163262,0.00676712625241827,0.7781285343602515,0.5973560520104957,0.7482681227865273,0.916238699992391
elastic_alpha_0p005_l1_0p5,0.7775393384703863,0.007792079593580738,0.7777582978942102,0.5972127325804527,0.7488921793062486,0.5242004000028828
elastic_alpha_0p001_l1_0p1,0.7775443892400262,0.0066971681305424005,0.7777521049114895,0.5979799019961692,0.7489026135406271,1.1637954999969224
ridge_alpha_3p0,0.777434733421039,0.006486950839404412,0.7776402913439948,0.5981715206087188,0.7490909774020692,0.37686069999836036
ridge_alpha_1p0,0.7774207158217866,0.006364636069769483,0.7776249402613482,0.598182892459223,0.749116834512401,0.3686710999936622
ridge_alpha_0p1,0.7774078038917775,0.006307928647441575,0.7776114032238688,0.5981946488401495,0.7491396353344709,0.4861287000021548
ridge_alpha_10p0,0.7773623256096467,0.006878912019813227,0.7775720545033278,0.5982185317442854,0.7492059075776927,0.3736445000031381
elastic_alpha_0p005_l1_0p9,0.7773079523518414,0.00800643907625715,0.777528203527196,0.5973945904764877,0.7492797557428151,0.8208740000009129
elastic_alpha_0p005_l1_0p1,0.77686867031378,0.007785170486355629,0.7770877679497308,0.598448160751268,0.7500210773297573,0.5889366000046721
ridge_alpha_30p0,0.7765994415924726,0.007772015146884146,0.7768184120152232,0.5989827618746276,0.7504740844049506,0.36300540000229375
elastic_alpha_0p01_l1_0p1,0.7750591825316772,0.008758390172871156,0.7752889086619944,0.6005284216965805,0.7530412601723062,0.5265381999997771
elastic_alpha_0p01_l1_0p5,0.7748281773246887,0.008765137195119692,0.7750572788792415,0.60073939908585,0.7534292736350524,0.45266970000011497
elastic_alpha_0p01_l1_0p9,0.7724835791445092,0.008656591864204168,0.7727159947920155,0.6036158454748165,0.7573401039772493,0.6479103999990912
ridge_alpha_100p0,0.7719853691029279,0.009681306140252527,0.772224719604867,0.6044458104706302,0.7581581588254567,0.3655297999976028
