fold,model,r2,mae,rmse,fit_seconds,residual_model,weight
0,base_spline,0.7953084147587886,0.5737079087479127,0.7210227045157891,0.11090150000018184,,
0,ridge_residual_w0p25,0.7959765072716064,0.5729751754489005,0.719845070428718,0.05760259999988193,ridge,0.25
0,ridge_residual_w0p5,0.796387550754192,0.5726004464032054,0.7191195735722891,0.05760259999988193,ridge,0.5
0,ridge_residual_w0p75,0.7965415452065454,0.5725524498711415,0.7188475829061799,0.05760259999988193,ridge,0.75
0,ridge_residual_w1p0,0.7964384906286666,0.5729943425249135,0.7190296130802438,0.05760259999988193,ridge,1.0
0,lightgbm_residual_w0p25,0.7965353824370746,0.5714955811589705,0.7188584697931273,0.31730900000002293,lightgbm,0.25
0,lightgbm_residual_w0p5,0.7971753921346583,0.5703756810344214,0.7177269738929181,0.31730900000002293,lightgbm,0.5
0,lightgbm_residual_w0p75,0.7972284438515399,0.5700504448189315,0.7176331018060483,0.31730900000002293,lightgbm,0.75
0,lightgbm_residual_w1p0,0.7966945375877192,0.5702923683751184,0.7185772601858272,0.31730900000002293,lightgbm,1.0
1,base_spline,0.782161670063719,0.5968062427438274,0.7420423821071936,0.0984783999992942,,
1,ridge_residual_w0p25,0.7826283770482253,0.5962667899843423,0.7412470628154147,0.057799299999715004,ridge,0.25
1,ridge_residual_w0p5,0.7827768347797702,0.5961399416798585,0.7409938957932526,0.057799299999715004,ridge,0.5
1,ridge_residual_w0p75,0.7826070432583537,0.5963503774203011,0.7412834365170079,0.057799299999715004,ridge,0.75
1,ridge_residual_w1p0,0.7821190024839757,0.5968267776035464,0.7421150497647176,0.057799299999715004,ridge,1.0
1,lightgbm_residual_w0p25,0.7838692572076935,0.5943634285276636,0.7391283059968099,0.25920030000088445,lightgbm,0.25
1,lightgbm_residual_w0p5,0.7849230821017569,0.5926431209427895,0.7373241582198014,0.25920030000088445,lightgbm,0.5
1,lightgbm_residual_w0p75,0.7853231447459088,0.5917203216570275,0.736638094012109,0.25920030000088445,lightgbm,0.75
1,lightgbm_residual_w1p0,0.7850694451401496,0.5915186534065378,0.7370732355007037,0.25920030000088445,lightgbm,1.0
2,base_spline,0.7892763543104808,0.5733358723758097,0.7202614177788137,0.09776289999990695,,
2,ridge_residual_w0p25,0.7893195084504333,0.5729381810489501,0.7201876627585304,0.05688780000036786,ridge,0.25
2,ridge_residual_w0p5,0.7891156693145117,0.5729236826043813,0.7205359791549008,0.05688780000036786,ridge,0.5
2,ridge_residual_w0p75,0.7886648369027162,0.5734407007024651,0.7213057555171017,0.05688780000036786,ridge,0.75
2,ridge_residual_w1p0,0.7879670112150465,0.5745079267981499,0.7224956447244171,0.05688780000036786,ridge,1.0
2,lightgbm_residual_w0p25,0.79088403419187,0.5711013716519604,0.717508601769172,0.2581706999999369,lightgbm,0.25
2,lightgbm_residual_w0p5,0.7916943855959384,0.5698414805734134,0.7161170330342023,0.2581706999999369,lightgbm,0.5
2,lightgbm_residual_w0p75,0.7917074085226858,0.5699326165130156,0.7160946474507515,0.2581706999999369,lightgbm,0.75
2,lightgbm_residual_w1p0,0.7909231029721127,0.5712422794663232,0.7174415731824257,0.2581706999999369,lightgbm,1.0
3,base_spline,0.7980761140155586,0.573665481632904,0.7180806284838028,0.09788490000028105,,
3,ridge_residual_w0p25,0.7980999561916311,0.5732423607437327,0.7180382335236819,0.057214899999962654,ridge,0.25
3,ridge_residual_w0p5,0.7978367287625648,0.573419302038362,0.7185061526734254,0.057214899999962654,ridge,0.5
3,ridge_residual_w0p75,0.7972864317283598,0.5740346767718627,0.7194833902787248,0.057214899999962654,ridge,0.75
3,ridge_residual_w1p0,0.7964490650890159,0.5751244534815012,0.7209678752718528,0.057214899999962654,ridge,1.0
3,lightgbm_residual_w0p25,0.8001847693338248,0.5703330010878216,0.7143213941680251,0.2492686000005051,lightgbm,0.25
3,lightgbm_residual_w0p5,0.8015783952657358,0.5679543961377677,0.71182599207491,0.2492686000005051,lightgbm,0.5
3,lightgbm_residual_w0p75,0.8022569918112918,0.5660982893617986,0.7106077367194433,0.2492686000005051,lightgbm,0.75
3,lightgbm_residual_w1p0,0.8022205589704925,0.5653235606534233,0.7106731960911786,0.2492686000005051,lightgbm,1.0
4,base_spline,0.7872681556957475,0.5805722425784168,0.7329505505585562,0.09752229999958217,,
4,ridge_residual_w0p25,0.7881371411284276,0.5794034128206316,0.7314520087554272,0.05620029999954568,ridge,0.25
4,ridge_residual_w0p5,0.7887784954464929,0.578675673507153,0.7303440385410754,0.05620029999954568,ridge,0.5
4,ridge_residual_w0p75,0.7891922186499438,0.5783499393830573,0.7296284192138528,0.05620029999954568,ridge,0.75
4,ridge_residual_w1p0,0.7893783107387802,0.5783434017834703,0.7293063057374474,0.05620029999954568,ridge,1.0
4,lightgbm_residual_w0p25,0.7889836087303157,0.577631669656938,0.7299893406379344,0.2510561000008238,lightgbm,0.25
4,lightgbm_residual_w0p5,0.7900563377800368,0.5754357644360689,0.7281314789624901,0.2510561000008238,lightgbm,0.5
4,lightgbm_residual_w0p75,0.7904863428449109,0.5741716577921574,0.7273854199785568,0.2510561000008238,lightgbm,0.75
4,lightgbm_residual_w1p0,0.7902736239249379,0.5740760284175923,0.7277545829940484,0.2510561000008238,lightgbm,1.0
