contract,fold,model,transformed_feature,coefficient,abs_coefficient
full_non_sleep,0,ridge_alpha_3,num__Age,0.11142558042824921,0.11142558042824921
full_non_sleep,0,ridge_alpha_3,num__Height_cm,0.060818709955681595,0.060818709955681595
full_non_sleep,0,ridge_alpha_3,num__Weight_kg,-0.10246959753051275,0.10246959753051275
full_non_sleep,0,ridge_alpha_3,num__BMI,0.60763036925888,0.60763036925888
full_non_sleep,0,ridge_alpha_3,num__Exercise_Frequency_Per_Week,-1.0646592921230535,1.0646592921230535
full_non_sleep,0,ridge_alpha_3,num__Exercise_Duration_Minutes,0.0030507791952292134,0.0030507791952292134
full_non_sleep,0,ridge_alpha_3,num__Daily_Steps,-0.25031401565991557,0.25031401565991557
full_non_sleep,0,ridge_alpha_3,num__Daily_Calorie_Intake,0.020099038789370832,0.020099038789370832
full_non_sleep,0,ridge_alpha_3,num__Water_Intake_Liters,-0.12117999976323651,0.12117999976323651
full_non_sleep,0,ridge_alpha_3,num__Fruit_Intake_Per_Day,-0.08225850446393453,0.08225850446393453
full_non_sleep,0,ridge_alpha_3,num__Vegetable_Intake_Per_Day,-0.14195397731107973,0.14195397731107973
full_non_sleep,0,ridge_alpha_3,num__Protein_Intake_Grams,-0.01051812999021317,0.01051812999021317
full_non_sleep,0,ridge_alpha_3,num__Sugary_Drinks_Per_Week,-0.003563316722392552,0.003563316722392552
full_non_sleep,0,ridge_alpha_3,num__Fast_Food_Meals_Per_Week,0.3254721574120142,0.3254721574120142
full_non_sleep,0,ridge_alpha_3,num__Breakfast_Regularity_Score,0.002571662737002642,0.002571662737002642
full_non_sleep,0,ridge_alpha_3,num__Stress_Level,0.8503053911478362,0.8503053911478362
full_non_sleep,0,ridge_alpha_3,num__Working_Hours_Per_Day,0.044297142354496555,0.044297142354496555
full_non_sleep,0,ridge_alpha_3,num__Sitting_Hours_Per_Day,-0.04225672189132029,0.04225672189132029
full_non_sleep,0,ridge_alpha_3,num__Outdoor_Time_Hours,0.009502357425369352,0.009502357425369352
full_non_sleep,0,ridge_alpha_3,num__Social_Interaction_Score,-0.09000051135152592,0.09000051135152592
full_non_sleep,0,ridge_alpha_3,num__Resting_Heart_Rate,0.005845400532733809,0.005845400532733809
full_non_sleep,0,ridge_alpha_3,num__Systolic_BP,0.02773314863294967,0.02773314863294967
full_non_sleep,0,ridge_alpha_3,num__Diastolic_BP,-0.002726483108118406,0.002726483108118406
