contract,fold,model,feature_count,r2,mae,rmse,fit_seconds
full_non_sleep,0,ridge_alpha_3,54,0.7848324028121225,0.5904059486372742,0.7392432724642166,0.1470439999975497
full_non_sleep,0,elastic_alpha_0p001_l1_0p9,54,0.785968790369583,0.5889799634396832,0.7372885660164573,0.18648250000114786
full_non_sleep,1,ridge_alpha_3,54,0.7688828016604488,0.6146366267789923,0.7643243464669347,0.07626490000257036
full_non_sleep,1,elastic_alpha_0p001_l1_0p9,54,0.7693600084243156,0.613821995966534,0.7635348569292533,0.21652780000295024
full_non_sleep,2,ridge_alpha_3,54,0.7726914582657174,0.5962982119211101,0.7480685450331899,0.07176500000059605
full_non_sleep,2,elastic_alpha_0p001_l1_0p9,54,0.772967603504455,0.595750814756868,0.7476140123020822,0.2111850000001141
full_non_sleep,3,ridge_alpha_3,54,0.780918264694463,0.5959884313009138,0.7479670205988221,0.0688138000004983
full_non_sleep,3,elastic_alpha_0p001_l1_0p9,54,0.7818768276470578,0.5947692335911328,0.7463289117655976,0.1916821999984677
full_non_sleep,4,ridge_alpha_3,54,0.7798487396724431,0.593528384405303,0.7456225101676273,0.07306949999838253
full_non_sleep,4,elastic_alpha_0p001_l1_0p9,54,0.7806484888450124,0.5910615225136818,0.7442669568785947,0.19628369999918505
proxy_removed,0,ridge_alpha_3,50,0.6949595102316606,0.7015821017604593,0.8801925546508093,0.07004959999903804
proxy_removed,0,elastic_alpha_0p001_l1_0p9,50,0.6961809377033318,0.699629942250495,0.8784285761476646,0.3075892000015301
proxy_removed,1,ridge_alpha_3,50,0.6543114154946671,0.7418746103872488,0.9347685250445411,0.06774670000231708
proxy_removed,1,elastic_alpha_0p001_l1_0p9,50,0.6557173182054303,0.7413979164156747,0.9328657539081325,0.30015819999971427
proxy_removed,2,ridge_alpha_3,50,0.6642608951426794,0.7229777052233086,0.9091477745624932,0.06396320000203559
proxy_removed,2,elastic_alpha_0p001_l1_0p9,50,0.6647835251289563,0.7224802348069281,0.9084398842147912,0.32788520000030985
proxy_removed,3,ridge_alpha_3,50,0.6969138823844764,0.7032648161740718,0.879756300046312,0.06987500000104774
proxy_removed,3,elastic_alpha_0p001_l1_0p9,50,0.6983081338170278,0.7014833970284248,0.8777304478018745,0.3115734999992128
proxy_removed,4,ridge_alpha_3,50,0.6668404329879152,0.7344243114369846,0.917243340373893,0.06705259999944246
proxy_removed,4,elastic_alpha_0p001_l1_0p9,50,0.6679654258299441,0.7328250443922656,0.9156933852231983,0.3211990000017977
