fold,model,n_knots,degree,alpha,transformed_width,r2,mae,rmse,transform_seconds,fit_seconds
0,spline_k3_d2_a0p3,3,2,0.3,172,0.7949532505328457,0.574536553073709,0.7216479634480396,0.15292099999714992,0.014189400000759633
0,spline_k3_d2_a1p0,3,2,1.0,172,0.7950152311008055,0.5744640589193488,0.7215388870268757,0.15292099999714992,0.013254299999971408
0,spline_k3_d2_a3p0,3,2,3.0,172,0.7951593341566863,0.5743076692454341,0.7212852236957911,0.15292099999714992,0.013799699998344295
0,spline_k3_d2_a10p0,3,2,10.0,172,0.7952015386827164,0.5744144845783243,0.7212109145515467,0.15292099999714992,0.013153300002159085
0,spline_k4_d2_a0p3,4,2,0.3,208,0.7951568914294642,0.573853884030172,0.7212895243501335,0.09557069999937085,0.013119400002324255
0,spline_k4_d2_a1p0,4,2,1.0,208,0.7953084147587886,0.5737079087479127,0.7210227045157891,0.09557069999937085,0.012840999999752967
0,spline_k4_d2_a3p0,4,2,3.0,208,0.7955104009164935,0.5736326252962007,0.7206668702708265,0.09557069999937085,0.013234900001407368
0,spline_k4_d2_a10p0,4,2,10.0,208,0.7951897577781332,0.5744564135870951,0.7212316578587189,0.09557069999937085,0.013452600000164239
1,spline_k3_d2_a0p3,3,2,0.3,172,0.7826849204783835,0.594385217288817,0.7411506487183809,0.08260399999926449,0.0123901000006299
1,spline_k3_d2_a1p0,3,2,1.0,172,0.7826018791540521,0.594535177610841,0.74129224094726,0.08260399999926449,0.012640199998713797
1,spline_k3_d2_a3p0,3,2,3.0,172,0.7824486548810322,0.594755139063211,0.7415534298608449,0.08260399999926449,0.011763099999370752
1,spline_k3_d2_a10p0,3,2,10.0,172,0.7815848538043633,0.5957080747206901,0.743024163285868,0.08260399999926449,0.012286400000448339
1,spline_k4_d2_a0p3,4,2,0.3,208,0.7823656754036026,0.5967204557628922,0.7416948398106659,0.10153599999830476,0.014066300002014032
1,spline_k4_d2_a1p0,4,2,1.0,208,0.782161670063719,0.5968062427438274,0.7420423821071936,0.10153599999830476,0.015793700000358513
1,spline_k4_d2_a3p0,4,2,3.0,208,0.7815602600833431,0.5971675453992301,0.7430659946673477,0.10153599999830476,0.0167793000000529
