fold,model,n_knots,degree,alpha,transformed_width,r2,mae,rmse,transform_seconds,fit_seconds
0,spline_k4_d2_a3p0,4,2,3.0,208,0.7955104009164935,0.5736326252962007,0.7206668702708265,0.1918230000010226,0.015087100000528153
0,spline_k4_d2_a10p0,4,2,10.0,208,0.7951897577781332,0.5744564135870951,0.7212316578587189,0.1918230000010226,0.01787280000280589
0,spline_k4_d2_a30p0,4,2,30.0,208,0.7925239228217518,0.5789522540889773,0.7259103020020916,0.1918230000010226,0.01793369999722927
0,spline_k4_d3_a3p0,4,3,3.0,244,0.7944150505050835,0.575094304887472,0.7225944218286658,0.14718030000221916,0.022503000000142492
0,spline_k4_d3_a10p0,4,3,10.0,244,0.7930948355084304,0.5774227796628538,0.7249108689650974,0.14718030000221916,0.021229799996945076
0,spline_k4_d3_a30p0,4,3,30.0,244,0.7911297330509581,0.5802811354999526,0.7283451904598824,0.14718030000221916,0.023569099997985177
0,spline_k5_d2_a3p0,5,2,3.0,244,0.7946246606123105,0.5742040872574006,0.7222259568183214,0.10346109999954933,0.01958569999987958
0,spline_k5_d2_a10p0,5,2,10.0,244,0.7941914547028156,0.5753569200731673,0.7229872647210669,0.10346109999954933,0.018646000000444474
0,spline_k5_d2_a30p0,5,2,30.0,244,0.7910821743301704,0.5801728914588086,0.7284281060286928,0.10346109999954933,0.02096220000021276
0,spline_k5_d3_a3p0,5,3,3.0,280,0.79348594796081,0.5766344778381732,0.7242253960327947,0.11975789999996778,0.01788970000052359
0,spline_k5_d3_a10p0,5,3,10.0,280,0.7919914025910971,0.5793031258185958,0.7268412869171108,0.11975789999996778,0.017632399998547044
0,spline_k5_d3_a30p0,5,3,30.0,280,0.7900442721332004,0.5818333870553383,0.7302352770005874,0.11975789999996778,0.016490499998326413
0,spline_k6_d2_a3p0,6,2,3.0,280,0.7939517363485645,0.5755838969912755,0.7234081969012426,0.12111820000063744,0.014879400001518661
0,spline_k6_d2_a10p0,6,2,10.0,280,0.7935950174263946,0.5764816882226184,0.7240341225854141,0.12111820000063744,0.014746400000149151
0,spline_k6_d2_a30p0,6,2,30.0,280,0.790429361925341,0.5809125660531405,0.7295652900093426,0.12111820000063744,0.01522810000096797
0,spline_k6_d3_a3p0,6,3,3.0,316,0.7904522686388501,0.5816293827552431,0.7295254170578412,0.12381639999875915,0.01915989999906742
0,spline_k6_d3_a10p0,6,3,10.0,316,0.7886997312937039,0.584567245360524,0.7325697317021305,0.12381639999875915,0.018686999999772524
0,spline_k6_d3_a30p0,6,3,30.0,316,0.7870146326894387,0.5869764253010142,0.7354850163031723,0.12381639999875915,0.019419100000959588
0,spline_k7_d2_a3p0,7,2,3.0,316,0.7903303765422913,0.5822905195279988,0.7297375655126833,0.12202789999719243,0.021931199997197837
0,spline_k7_d2_a10p0,7,2,10.0,316,0.7901040985383125,0.5828750192134636,0.7301312301509275,0.12202789999719243,0.019785500000580214
0,spline_k7_d2_a30p0,7,2,30.0,316,0.7867923473238135,0.5877311678012537,0.7358687161871391,0.12202789999719243,0.019572299999708775
0,spline_k7_d3_a3p0,7,3,3.0,352,0.7905592959044623,0.581486675037819,0.7293390893834272,0.16475699999864446,0.033368100001098355
0,spline_k7_d3_a10p0,7,3,10.0,352,0.7893189472856462,0.583463395864338,0.7314955453876828,0.16475699999864446,0.02365050000298652
0,spline_k7_d3_a30p0,7,3,30.0,352,0.7883159333627408,0.5850310922264395,0.7332347360423636,0.16475699999864446,0.02742030000081286
1,spline_k4_d2_a3p0,4,2,3.0,208,0.7815602600833431,0.5971675453992301,0.7430659946673477,0.15156410000054166,0.019159399998898152
1,spline_k4_d2_a10p0,4,2,10.0,208,0.77932755746601,0.5993265035973167,0.746853830129411,0.15156410000054166,0.018711099997744896
1,spline_k4_d2_a30p0,4,2,30.0,208,0.7734174803478496,0.6061024352618191,0.7567889155963275,0.15156410000054166,0.01743509999869275
1,spline_k4_d3_a3p0,4,3,3.0,244,0.7783305647039009,0.6005133840396182,0.7485390625918299,0.14326960000107647,0.022442599998612422
1,spline_k4_d3_a10p0,4,3,10.0,244,0.7757542441076322,0.6035432796706109,0.7528763894083516,0.14326960000107647,0.023532800001703436
1,spline_k4_d3_a30p0,4,3,30.0,244,0.7725784001762932,0.6076861284931008,0.758188890694124,0.14326960000107647,0.023855100000218954
1,spline_k5_d2_a3p0,5,2,3.0,244,0.7786818273771133,0.6009465539762147,0.7479457510304165,0.13655579999976908,0.021113900002092123
1,spline_k5_d2_a10p0,5,2,10.0,244,0.7751646623213269,0.605095459481163,0.7538654623708759,0.13655579999976908,0.02183320000040112
1,spline_k5_d2_a30p0,5,2,30.0,244,0.7677412591000844,0.6143631265122163,0.7662096108444112,0.13655579999976908,0.02124299999923096
1,spline_k5_d3_a3p0,5,3,3.0,280,0.7783080925281474,0.6014574890638511,0.7485770039414098,0.14872529999774997,0.019512200000463054
