model,n_knots,degree,alpha,transformed_width,fold_r2_mean,fold_r2_std,oof_r2,oof_mae,oof_rmse,total_fit_seconds
spline_k4_d2_a3p0,4,2,3.0,208,0.7903909783945815,0.006821066283827197,0.7905766359789776,0.5796820819673991,0.7269743431405917,0.08572549999371404
spline_k4_d2_a10p0,4,2,10.0,208,0.7894746678396118,0.007948646159505248,0.7896652153416873,0.5808918244258209,0.7285545395341531,0.08700699999826611
spline_k5_d2_a3p0,5,2,3.0,244,0.7886876564961625,0.007242846273065884,0.7888780281968111,0.5822974723041011,0.7299165899794594,0.11031409999850439
spline_k4_d3_a3p0,4,3,3.0,244,0.7886428492045662,0.007294373271732862,0.7888272608333358,0.5824011418385343,0.73000434425989,0.11396529999910854
spline_k5_d3_a3p0,5,3,3.0,280,0.7882237218393,0.007018716506673462,0.7884062272610506,0.5827446324628968,0.7307317186591314,0.09895800000231247
spline_k6_d2_a3p0,6,2,3.0,280,0.7875897865675002,0.00743111254831471,0.7877728382603513,0.5835300026962092,0.7318245948289407,0.09783180000158609
spline_k5_d2_a10p0,5,2,10.0,244,0.7874465895054403,0.008616615175220584,0.7876376410098047,0.5840492288874036,0.732057658589514,0.10976430000300752
spline_k4_d3_a10p0,4,3,10.0,244,0.7872182342248825,0.007984564900906184,0.7874034261334242,0.584390454335989,0.7324612412802375,0.10777579999921727
spline_k6_d3_a3p0,6,3,3.0,316,0.7867763903442145,0.006866962202806842,0.7869647056894509,0.585125104193839,0.7332166158880731,0.11213580000185175
spline_k5_d3_a10p0,5,3,10.0,280,0.7867172156616692,0.0076480479603320195,0.7869007019669725,0.5847347615294589,0.7333267503817671,0.09886109999933979
spline_k6_d2_a10p0,6,2,10.0,280,0.7865230240466495,0.008664914760999473,0.7867071244803814,0.5849377962334485,0.7336597484895664,0.09095160000651958
spline_k7_d2_a3p0,7,2,3.0,316,0.7863776050554663,0.0071858151736671014,0.7865618713285237,0.5860491158202624,0.7339095183277732,0.10960519999935059
spline_k4_d2_a30p0,4,2,30.0,208,0.7855610770208112,0.009710555238855084,0.7857628300468046,0.5863016018633236,0.7352819914344674,0.08704769999530981
spline_k7_d3_a3p0,7,3,3.0,352,0.7855253607681563,0.007330725745704571,0.7857234511207669,0.5861993690490102,0.7353495644068638,0.13453160000426578
spline_k6_d3_a10p0,6,3,10.0,316,0.7852086568610878,0.007102972551076333,0.7853975234442024,0.5869848991058294,0.7359086076316839,0.1120446999957494
spline_k7_d2_a10p0,7,2,10.0,316,0.7851582614189393,0.008261401629432237,0.7853460500380852,0.5873873072790777,0.735996857898174,0.10687419999885606
spline_k4_d3_a30p0,4,3,30.0,244,0.7849302999914595,0.008680891250191954,0.7851204089958741,0.5876927171309164,0.7363835907725643,0.10788819999652333
spline_k5_d3_a30p0,5,3,30.0,280,0.784495424589131,0.008291498693502925,0.7846837702132892,0.5876277122691993,0.7371313827300393,0.09395649999714806
spline_k7_d3_a10p0,7,3,10.0,352,0.7843892339937675,0.007308769486726777,0.7845882260745738,0.5874920440281749,0.7372949114429334,0.11758640000334708
spline_k6_d3_a30p0,6,3,30.0,316,0.7833643708354179,0.007510686979480937,0.7835565588773478,0.5893488515003168,0.7390583582647773,0.10730700000203797
spline_k7_d3_a30p0,7,3,30.0,352,0.7832103365604073,0.007565179140227394,0.7834119275942781,0.5891105141330938,0.7393052428722008,0.13037400000030175
spline_k5_d2_a30p0,5,2,30.0,244,0.7831520311454516,0.010586936422788743,0.7833488316759293,0.5899648272548729,0.7394129213466716,0.11235699999815552
spline_k6_d2_a30p0,6,2,30.0,280,0.7823201068315149,0.01042259674133803,0.782510768028329,0.5905534369545776,0.740841662729609,0.09731560000000172
spline_k7_d2_a30p0,7,2,30.0,316,0.7805597160495792,0.009789480067201548,0.7807559491559427,0.5933562949365672,0.7438244106250512,0.10814809999646968
