contract,fold,model,alpha,l1_ratio,source_feature_count,engineered_feature_count,transformed_width,r2,adjusted_r2_raw,adjusted_r2_transformed,mae,rmse,fit_seconds
competition,0,elastic_a0p0001_l1_0p1,0.0001,0.1,62,64,111,0.6083248686910807,0.5919944397635426,0.5791071673636008,0.5799496068572716,0.724708777628753,0.35121170000275015
competition,0,elastic_a0p0001_l1_0p3,0.0001,0.3,62,64,111,0.6084702262530173,0.592145857836205,0.5792633681307625,0.5798721530971048,0.724574289033508,0.27151560000129393
competition,0,elastic_a0p0001_l1_0p5,0.0001,0.5,62,64,111,0.608613112436855,0.5922947014895968,0.5794169131629914,0.5797954939728304,0.7244420626876071,0.22789689999990514
competition,0,elastic_a0p0001_l1_0p7,0.0001,0.7,62,64,111,0.608753702503372,0.5924411532917861,0.5795679907949542,0.5797185166734928,0.7243119376004022,0.1901391000028525
competition,0,elastic_a0p0001_l1_0p9,0.0001,0.9,62,64,111,0.6088915647654118,0.5925847635569339,0.5797161371370252,0.57964661107798,0.724184314565048,0.14602350000131992
competition,0,elastic_a0p0003_l1_0p1,0.0003,0.1,62,64,111,0.6086541373850971,0.5923374369242803,0.5794609984400338,0.5797618399035029,0.7244040938926308,0.24805949999790755
competition,0,elastic_a0p0003_l1_0p3,0.0003,0.3,62,64,111,0.6090216621451958,0.5927202851922919,0.5798559393616721,0.5795665440155605,0.7240638590731169,0.12441720000060741
competition,0,elastic_a0p0003_l1_0p5,0.0003,0.5,62,64,111,0.6093706878217042,0.5930838630794171,0.5802310012277587,0.5793908573807053,0.7237406016456058,0.14933729999756906
competition,0,elastic_a0p0003_l1_0p7,0.0003,0.7,62,64,111,0.6095339771568006,0.5932539605692013,0.5804064714205135,0.5792987622160796,0.7235893182284179,0.060931299998628674
competition,0,elastic_a0p0003_l1_0p9,0.0003,0.9,62,64,111,0.6096280090559504,0.5933519130165894,0.5805075177960112,0.579276898596469,0.7235021857115259,0.03321689999938826
competition,0,elastic_a0p001_l1_0p1,0.001,0.1,62,64,111,0.6094033552230461,0.5931178925092186,0.5802661055118621,0.5793391677632984,0.7237103386593409,0.12565860000177054
competition,0,elastic_a0p001_l1_0p3,0.001,0.3,62,64,111,0.6098462430530007,0.5935792460206828,0.5807420313452609,0.5791860610627864,0.7232999237013988,0.0287410999990243
competition,0,elastic_a0p001_l1_0p5,0.001,0.5,62,64,111,0.6101299208623199,0.5938747514389899,0.5810468706040655,0.5791203022576057,0.7230369229680964,0.020034900000609923
competition,0,elastic_a0p001_l1_0p7,0.001,0.7,62,64,111,0.6103974946937419,0.5941534814431879,0.5813344045801703,0.5789245595042845,0.7227887647018943,0.09612879999986035
competition,0,elastic_a0p001_l1_0p9,0.001,0.9,62,64,111,0.6105856390209666,0.5943494702244467,0.5815365838672888,0.5787994297557834,0.722614221384464,0.03281720000086352
competition,0,elastic_a0p003_l1_0p1,0.003,0.1,62,64,111,0.6102412026788686,0.5939906730185739,0.5811664536851552,0.578960504192608,0.7229337262765663,0.026835099997697398
competition,0,elastic_a0p003_l1_0p3,0.003,0.3,62,64,111,0.6110652166533846,0.5948490432760665,0.5820519364440605,0.5784339000134427,0.7221691217489922,0.02469559999735793
competition,0,elastic_a0p003_l1_0p5,0.003,0.5,62,64,111,0.6120150811390743,0.5958385112321694,0.5830726577563037,0.5778312247263411,0.721286734571112,0.01400179999836837
competition,0,elastic_a0p003_l1_0p7,0.003,0.7,62,64,111,0.6127727180995776,0.5966277369649671,0.5838868119900702,0.5774708210248587,0.7205821446440698,0.010370100000727689
competition,0,elastic_a0p003_l1_0p9,0.003,0.9,62,64,111,0.6134266526319211,0.5973089365201576,0.5845895279290604,0.5770810080416321,0.7199734418488457,0.009934199999406701
competition,0,elastic_a0p01_l1_0p1,0.01,0.1,62,64,111,0.6116559403015512,0.5954643964444173,0.5826867261708202,0.5780318566764752,0.7216204893006705,0.016349600002286024
competition,0,elastic_a0p01_l1_0p3,0.01,0.3,62,64,111,0.6137335704067799,0.5976286508667368,0.5849193407798663,0.5769625163781879,0.7196875756275225,0.011071400000219
competition,0,elastic_a0p01_l1_0p5,0.01,0.5,62,64,111,0.614789038783421,0.598728125742469,0.586053543692668,0.5765427120634018,0.7187036341901634,0.009290400001191301
competition,0,elastic_a0p01_l1_0p7,0.01,0.7,62,64,111,0.6152483236697268,0.5992065599660542,0.5865470897499283,0.5764245085097146,0.7182750532307761,0.00823820000005071
