contract,model,alpha,l1_ratio,source_feature_count,engineered_feature_count,transformed_width_max,fold_adjusted_r2_raw_mean,fold_adjusted_r2_raw_std,oof_adjusted_r2_raw,oof_adjusted_r2_transformed,oof_r2,oof_mae,oof_rmse,control_adjusted_r2_raw,delta_vs_fixed_elastic,total_fit_seconds
competition,elastic_a0p01_l1_0p9,0.01,0.9,62,64,111,0.6067995861956037,0.010131106869258584,0.6199117677866997,0.6176470432793436,0.6229528537801553,0.5598479081682621,0.7031078459347389,0.6158906330925098,0.004021134694189854,0.04402729999856092
competition,elastic_a0p01_l1_0p7,0.01,0.7,62,64,111,0.60666754382881,0.010236635661744365,0.6197820059223222,0.6175165082395572,0.6228241301404709,0.5598765515293691,0.7032278559633547,0.6158906330925098,0.003891372829812445,0.04338790000110748
competition,elastic_a0p01_l1_0p5,0.01,0.5,62,64,111,0.6062550506712225,0.0103827079529596,0.6193808872275346,0.6171129995119785,0.6224262207964104,0.5601163918487092,0.703598700435993,0.6158906330925098,0.003490254135024795,0.049680100000841776
competition,elastic_a0p003_l1_0p9,0.003,0.9,62,64,111,0.6057744438619596,0.010025754961098348,0.6189112633666539,0.6166405774359025,0.6219603543960993,0.5604584004227406,0.7040326314530587,0.6158906330925098,0.0030206302741441204,0.06289500000275439
competition,elastic_a0p01_l1_0p3,0.01,0.3,62,64,111,0.6052442478699751,0.010433500015067515,0.6184023759250533,0.6161286578302863,0.6214555385629826,0.5608294674877025,0.7045025401708467,0.6158906330925098,0.0025117428325435176,0.062131399994541425
competition,elastic_a0p003_l1_0p7,0.003,0.7,62,64,111,0.6052340645415579,0.010014566943802261,0.6183884107560998,0.6161146094510208,0.6214416851293477,0.5608939160119885,0.7045154312455923,0.6158906330925098,0.0024977776635900506,0.08215600000039558
competition,elastic_a0p003_l1_0p5,0.003,0.5,62,64,111,0.6045042426772026,0.00996931260514483,0.6176825402813609,0.6154045331050455,0.6207414623243654,0.5614111866572736,0.7051667045622525,0.6158906330925098,0.0017919071888511384,0.07930469999701018
competition,elastic_a0p003_l1_0p3,0.003,0.3,62,64,111,0.6035870246172058,0.010074195709084875,0.6167941285579722,0.6145108278533862,0.6198601587832866,0.5620814516796446,0.7059855461142212,0.6158906330925098,0.0009034954654624228,0.10688889999437379
competition,elastic_a0p001_l1_0p9,0.001,0.9,62,64,111,0.6035144983498795,0.00997580100610442,0.6167221951328423,0.6144384658188519,0.6197888008975001,0.5621250871600296,0.7060518049834176,0.6158906330925098,0.000831562040332523,0.12893420000182232
competition,elastic_a0p01_l1_0p1,0.01,0.1,62,64,111,0.6032441484226088,0.010513195585652611,0.6164674865020485,0.614182239527606,0.6195361301904933,0.5623406012454141,0.7062863706408155,0.6158906330925098,0.0005768534095387245,0.08924470000056317
competition,elastic_a0p001_l1_0p7,0.001,0.7,62,64,111,0.603131180131083,0.009971560493587026,0.6163525416538812,0.6140666097900035,0.6194221050160704,0.5624131583297146,0.7063921998664647,0.6158906330925098,0.0004619085613714047,0.2045164000010118
competition,elastic_a0p03_l1_0p3,0.03,0.3,62,64,111,0.6026761716967436,0.01073489305944508,0.6159434006436354,0.6136550309466591,0.6190162375430988,0.5626800272157664,0.7067687656409459,0.6158906330925098,5.276755112559872e-05,0.04640250000011292
competition,elastic_a0p001_l1_0p5,0.001,0.5,62,64,111,0.6026523202186371,0.009945867087937987,0.6158906330925098,0.613601948984415,0.6189638921851564,0.5627867102452274,0.7068173173076862,0.6158906330925098,0.0,0.16250400000353693
competition,elastic_a0p003_l1_0p1,0.003,0.1,62,64,111,0.6022948648179357,0.010051199888056694,0.6155470898819992,0.6132563587999067,0.618623097663916,0.563065438835055,0.7071333314968926,0.6158906330925098,-0.00034354321051055514,0.18213319999631494
competition,elastic_a0p03_l1_0p5,0.03,0.5,62,64,111,0.6022302215642072,0.010642656520729295,0.6155175874354764,0.6132266805654798,0.6185938312664714,0.563023542506085,0.7071604632502609,0.6158906330925098,-0.00037304565703344394,0.044754300000931835
competition,elastic_a0p001_l1_0p3,0.001,0.3,62,64,111,0.6021223479311846,0.00986254520432789,0.6153791077202402,0.6130873757302366,0.6184564595274542,0.5631744292597651,0.7072878014070858,0.6158906330925098,-0.0005115253722696167,0.22331010000198148
competition,elastic_a0p0003_l1_0p9,0.0003,0.9,62,64,111,0.6019343438048508,0.00977426453517925,0.6151970721085038,0.6129042554742619,0.61827588038267,0.5632860333365843,0.7074551562488511,0.6158906330925098,-0.0006935609840059698,0.3335794000013266
competition,elastic_a0p0003_l1_0p7,0.0003,0.7,62,64,111,0.6017260445181918,0.009718189828856548,0.6149961584549554,0.6127021446932138,0.6180765742392887,0.5634289881304144,0.7076398207114596,0.6158906330925098,-0.0008944746375544321,0.6205249999984517
competition,elastic_a0p0003_l1_0p5,0.0003,0.5,62,64,111,0.601515924430555,0.009632460324605912,0.6147929719476278,0.6124977475157742,0.6178750134272317,0.563587766022041,0.7078265252098144,0.6158906330925098,-0.0010976611448819673,0.7638598999983515
competition,elastic_a0p001_l1_0p1,0.001,0.1,62,64,111,0.6014721945947988,0.009683902032162758,0.6147507635007506,0.6124552875733338,0.6178331426901433,0.5636231647988525,0.7078653036299184,0.6158906330925098,-0.0011398695917591573,0.7742349000072863
competition,elastic_a0p03_l1_0p1,0.03,0.1,62,64,111,0.6013323017317029,0.011110186439615012,0.6146321465851732,0.6123359638886092,0.6177154748285222,0.5638511477086725,0.7079742698897874,0.6158906330925098,-0.0012584865073366203,0.0634109000020544
competition,elastic_a0p03_l1_0p7,0.03,0.7,62,64,111,0.6012959118289116,0.010683533787383062,0.6146162449829802,0.6123199675380259,0.6176997004550504,0.5637526971899091,0.7079888764649986,0.6158906330925098,-0.0012743881095296228,0.041878099997120444
competition,elastic_a0p0003_l1_0p3,0.0003,0.3,62,64,111,0.6012657803432622,0.009587254773502139,0.614550117270388,0.6122534458088905,0.6176341018302949,0.5637664018893453,0.7080496155025829,0.6158906330925098,-0.0013405158221218016,0.8695482000002812
competition,elastic_a0p0001_l1_0p9,0.0001,0.9,62,64,111,0.601205024779218,0.009566279805445306,0.6144909744660517,0.6121939506070133,0.6175754322275435,0.563806715940776,0.708103934410853,0.6158906330925098,-0.001399658626458078,0.9411570000047504
competition,elastic_a0p0001_l1_0p7,0.0001,0.7,62,64,111,0.6011055162429862,0.009550857355154659,0.6143943915105525,0.6120967921699081,0.6174796220322833,0.5638758482423141,0.7081926307619717,0.6158906330925098,-0.0014962415819572694,1.0607801000078325
competition,elastic_a0p0001_l1_0p5,0.0001,0.5,62,64,111,0.6010002381171328,0.009536078164695656,0.614292229254519,0.6119940211884645,0.6173782771764731,0.5639531442942843,0.708286438740606,0.6158906330925098,-0.0015984038379908139,1.184402399998362
competition,elastic_a0p0003_l1_0p1,0.0003,0.1,62,64,111,0.6009767746155006,0.009537995062784254,0.6142697713941198,0.611971429514749,0.6173559990014177,0.5639740418753402,0.7083070584527774,0.6158906330925098,-0.0016208616983900415,1.3381552999962878
competition,elastic_a0p0001_l1_0p3,0.0001,0.3,62,64,111,0.6008929705335883,0.009522614515833186,0.6141881505476894,0.6118893223372104,0.6172750312033899,0.5640339605862911,0.7083819936787199,0.6158906330925098,-0.0017024825448204162,1.4759391000006872
competition,elastic_a0p0001_l1_0p1,0.0001,0.1,62,64,111,0.6007823635810348,0.009506771398737342,0.6140808340638227,0.6117813664168906,0.617168573358724,0.5641170135174082,0.708480507733149,0.6158906330925098,-0.0018097990286870536,2.4320408000021416
competition,elastic_a0p03_l1_0p9,0.03,0.9,62,64,111,0.6001227549645948,0.010719796523561854,0.6134839909598613,0.6111809670723249,0.616576505596512,0.564600946680279,0.7090281461749076,0.6158906330925098,-0.0024066421326485177,0.04563449999477598
scientific_proxy_removed,elastic_a0p01_l1_0p9,0.01,0.9,58,60,103,0.6078820409434388,0.010068100467095343,0.6201624354997604,0.6180939178612712,0.6230115733757466,0.559852657967001,0.7030530944052009,0.616607643898979,0.003554791600781315,0.06140830000003916
scientific_proxy_removed,elastic_a0p01_l1_0p7,0.01,0.7,58,60,103,0.6078140253440368,0.010132027472168221,0.6200948809820696,0.6180259954555027,0.6229445255802788,0.5598284469438507,0.7031156109986042,0.616607643898979,0.003487237083090511,0.06119360000593588
scientific_proxy_removed,elastic_a0p01_l1_0p5,0.01,0.5,58,60,103,0.6074644876005628,0.010220188807877386,0.6197544486395261,0.617683709188095,0.6226066467994997,0.560019821552461,0.7034305708179138,0.616607643898979,0.003146804740547071,0.061819399998057634
scientific_proxy_removed,elastic_a0p003_l1_0p9,0.003,0.9,58,60,103,0.6070169811421687,0.009881497807437849,0.6193158828842553,0.617242755093478,0.6221713706986002,0.5603354133616726,0.7038361135724747,0.616607643898979,0.002708238985276279,0.08238920000076178
scientific_proxy_removed,elastic_a0p01_l1_0p3,0.01,0.3,58,60,103,0.6065232203987995,0.010229328310618178,0.6188415499394311,0.6167658390285136,0.6217005956956049,0.5606919769684819,0.7042744674608271,0.616607643898979,0.0022339060404520383,0.07587280000370811
scientific_proxy_removed,elastic_a0p003_l1_0p7,0.003,0.7,58,60,103,0.606505309825169,0.009857528932180684,0.6188200332712299,0.616744205184941,0.6216792404225896,0.5607565312322536,0.7042943455799978,0.616607643898979,0.002212389372250878,0.1063103000051342
scientific_proxy_removed,elastic_a0p003_l1_0p5,0.003,0.5,58,60,103,0.6057962232208324,0.00980382515817785,0.6181330068956865,0.6160534374043636,0.6209973673890306,0.5612521030292925,0.7049287584593371,0.616607643898979,0.0015253629967074689,0.08871780000481522
scientific_proxy_removed,elastic_a0p003_l1_0p3,0.003,0.3,58,60,103,0.6050223746014145,0.009818942739080122,0.617382279413909,0.6152986216143647,0.6202522710672613,0.5618573910822309,0.7056213419480118,0.616607643898979,0.0007746355149299555,0.12148250000245753
scientific_proxy_removed,elastic_a0p001_l1_0p9,0.001,0.9,58,60,103,0.6049564314322419,0.009723439948787185,0.6173160985623076,0.61523208035539,0.6201865866340992,0.5618857296189526,0.7056823644773298,0.616607643898979,0.0007084546633285838,0.1415287999989232
scientific_proxy_removed,elastic_a0p01_l1_0p1,0.01,0.1,58,60,103,0.6047475969425851,0.01019795656818438,0.6171216130899382,0.6150365357549417,0.6199935599851256,0.5620629198582275,0.7058616606724984,0.616607643898979,0.0005139691909591404,0.10437690000253497
scientific_proxy_removed,elastic_a0p001_l1_0p7,0.001,0.7,58,60,103,0.6046390815415432,0.009688188728833976,0.6170095697882244,0.6149238822883376,0.6198823571132284,0.5621279500292178,0.7059649327409542,0.616607643898979,0.0004019258892453692,0.2132958000038343
scientific_proxy_removed,elastic_a0p001_l1_0p5,0.001,0.5,58,60,103,0.6042233204145091,0.009618555803901373,0.616607643898979,0.6145197675929578,0.6194834460450049,0.5624409468504321,0.7063352699040525,0.616607643898979,0.0,0.18101960000421968
scientific_proxy_removed,elastic_a0p003_l1_0p1,0.003,0.1,58,60,103,0.60392583907938,0.009679395201721475,0.6163218446071644,0.6142324118966918,0.6191997905158493,0.5626944352833024,0.7065984891750904,0.616607643898979,-0.0002857992918146035,0.22680769999715267
scientific_proxy_removed,elastic_a0p03_l1_0p3,0.03,0.3,58,60,103,0.603768006594379,0.01065033579311879,0.6161939163757001,0.6141037869942607,0.6190728218660686,0.562783506613499,0.7067162784734186,0.616607643898979,-0.00041372752327895057,0.056488100006390596
scientific_proxy_removed,elastic_a0p001_l1_0p3,0.001,0.3,58,60,103,0.6037729489076197,0.009511311547247915,0.6161721406689753,0.6140818927014937,0.6190512094975615,0.562778231983902,0.7067363263944892,0.616607643898979,-0.000435503230003742,0.2719822999970347
scientific_proxy_removed,elastic_a0p0003_l1_0p9,0.0003,0.9,58,60,103,0.6036144881763779,0.009425964292781076,0.6160182989543387,0.6139272131963647,0.6188985217400294,0.5628704864743361,0.7068779453953538,0.616607643898979,-0.0005893449446403576,0.4084398000049987
scientific_proxy_removed,elastic_a0p0003_l1_0p7,0.0003,0.7,58,60,103,0.6034495277813707,0.009360247713311157,0.6158591168933384,0.6137671642624384,0.6187405336937384,0.5629899617521082,0.7070244505915988,0.616607643898979,-0.0007485270056406534,0.7615233999931661
scientific_proxy_removed,elastic_a0p03_l1_0p5,0.03,0.5,58,60,103,0.6032615548724217,0.010613357152224324,0.6157073791295476,0.6136146001658408,0.618589934105448,0.5631566471838021,0.7071640760800743,0.616607643898979,-0.0009002647694313914,0.0561005000017758
scientific_proxy_removed,elastic_a0p0003_l1_0p5,0.0003,0.5,58,60,103,0.603274117715249,0.009278443901417925,0.6156892218680152,0.6135963440235781,0.6185719130404016,0.5631254540533721,0.7071807821143725,0.616607643898979,-0.0009184220309638169,0.8496449999984179
scientific_proxy_removed,elastic_a0p001_l1_0p1,0.001,0.1,58,60,103,0.6032471102842198,0.009317168424813269,0.6156634828756034,0.6135704648618814,0.6185463671145662,0.5631511330708685,0.7072044632301016,0.616607643898979,-0.0009441610233756892,0.8938540999988618
scientific_proxy_removed,elastic_a0p0003_l1_0p3,0.0003,0.3,58,60,103,0.6030723065121991,0.009235633255411907,0.6154928663576091,0.6133989192012486,0.6183770303804299,0.5632665917919656,0.707361418618863,0.616607643898979,-0.0011147775413699046,1.12398210000174
scientific_proxy_removed,elastic_a0p0001_l1_0p9,0.0001,0.9,58,60,103,0.6030197071947823,0.009218490648209603,0.6154414667711376,0.6133472397031485,0.61832601633905,0.563301201662841,0.7074086958554178,0.616607643898979,-0.0011661771278413946,1.1944182999941404
scientific_proxy_removed,elastic_a0p0001_l1_0p7,0.0001,0.7,58,60,103,0.6029440250057172,0.009199848487070743,0.6153678359513005,0.6132732079049361,0.6182529378193993,0.5633545634776544,0.7074764158313328,0.616607643898979,-0.0012398079476785284,1.3537251999987348
scientific_proxy_removed,elastic_a0p03_l1_0p1,0.03,0.1,58,60,103,0.6028730003720973,0.010844797812459124,0.6153196906199834,0.613224800383998,0.6182051536232089,0.5635620460599289,0.7075206927064797,0.616607643898979,-0.0012879532789956682,0.07663209999373066
scientific_proxy_removed,elastic_a0p0001_l1_0p5,0.0001,0.5,58,60,103,0.6028611396070959,0.009184528430487214,0.6152871883436635,0.6131921211069331,0.6181728951444361,0.563411096041771,0.7075505818725911,0.616607643898979,-0.0013204555553155695,1.4633164999977453
scientific_proxy_removed,elastic_a0p0003_l1_0p1,0.0003,0.1,58,60,103,0.6028492125871239,0.009177347179463542,0.61527593605405,0.6131808075396533,0.618161727257545,0.5634229311384316,0.7075609292091068,0.616607643898979,-0.0013317078449290864,1.6038907000001927
scientific_proxy_removed,elastic_a0p0001_l1_0p3,0.0001,0.3,58,60,103,0.6027775644758528,0.009168468736755019,0.615205859801443,0.6131103496661165,0.6180921766425373,0.5634720599612164,0.7076253662503607,0.616607643898979,-0.0014017840975359963,1.7223464000053355
scientific_proxy_removed,elastic_a0p0001_l1_0p1,0.0001,0.1,58,60,103,0.602689611337879,0.009148034792192759,0.6151202803414871,0.6130243041579364,0.6180072391087719,0.5635363607827173,0.7077040509594799,0.616607643898979,-0.0014873635574919053,2.4437459999971907
scientific_proxy_removed,elastic_a0p03_l1_0p7,0.03,0.7,58,60,103,0.6024760848789011,0.010587631942710401,0.6149487887979341,0.6128518787065348,0.6178370339125889,0.5637331697061445,0.7078616998789431,0.616607643898979,-0.0016588551010449093,0.05428599999868311
scientific_proxy_removed,elastic_a0p03_l1_0p9,0.03,0.9,58,60,103,0.6013357858408473,0.010572895828238664,0.6138456507852461,0.6117427332299985,0.6167421704693172,0.5645616684928668,0.7088749555777123,0.616607643898979,-0.00276199311373293,0.05594750000454951
