fold,model,family,gamma,kernel_components,ridge_alpha,engineered_feature_count,preprocessed_width,r2,adjusted_r2_raw,adjusted_r2_transformed,mae,rmse,preprocess_seconds,kernel_map_seconds,fit_seconds
0,rbf_sampler_g0p001_c256_a1,rbf_sampler,0.001,256,1.0,60,103,0.5850936202871729,0.568917932968934,0.5060049879666341,0.595294065212531,0.7458913642182822,0.13785760000246228,0.023419699999067234,0.016226899999310263
0,rbf_sampler_g0p001_c256_a10,rbf_sampler,0.001,256,10.0,60,103,0.5307915944724182,0.5124988691107191,0.44135201754385456,0.6354232611278315,0.7932012947606166,0.13785760000246228,0.023419699999067234,0.017593500000657514
0,rbf_sampler_g0p001_c512_a1,rbf_sampler,0.001,512,1.0,60,103,0.5927273918411945,0.5768493174490383,0.4008933758547102,0.5897918780901008,0.7389977626711572,0.13785760000246228,0.04210450000027777,0.03368320000299718
0,rbf_sampler_g0p001_c512_a10,rbf_sampler,0.001,512,10.0,60,103,0.5344145166339643,0.5162630358009805,0.31511390257378935,0.6329991753542482,0.7901330682980856,0.13785760000246228,0.04210450000027777,0.03446440000334405
0,rbf_sampler_g0p003_c256_a1,rbf_sampler,0.003,256,1.0,60,103,0.5858060667739249,0.5696581551471773,0.5068532395915903,0.5955694791479071,0.7452506943859154,0.13785760000246228,0.025966899997001747,0.015248700001393445
0,rbf_sampler_g0p003_c256_a10,rbf_sampler,0.003,256,10.0,60,103,0.5540416040522234,0.5366553118125439,0.46903389789985483,0.61747392544151,0.7732994387921733,0.13785760000246228,0.025966899997001747,0.015402199998789001
0,rbf_sampler_g0p003_c512_a1,rbf_sampler,0.003,512,1.0,60,103,0.5917601800451399,0.5758443975907594,0.39947058683733094,0.5894941691869188,0.7398747471229148,0.13785760000246228,0.04828840000118362,0.03705590000026859
0,rbf_sampler_g0p003_c512_a10,rbf_sampler,0.003,512,10.0,60,103,0.5589143705090143,0.5417180496711591,0.35115370602015983,0.6133290103453541,0.7690631049968499,0.13785760000246228,0.04828840000118362,0.03896080000049551
0,rbf_sampler_g0p01_c256_a1,rbf_sampler,0.01,256,1.0,60,103,0.5459156637606828,0.5282125707299102,0.45935900696450616,0.6212464393209198,0.7803128937495951,0.13785760000246228,0.028269700000237208,0.017910399998072535
0,rbf_sampler_g0p01_c256_a10,rbf_sampler,0.01,256,10.0,60,103,0.5398005661784906,0.5218590677838899,0.45207826159300557,0.6249440324270323,0.7855495110942843,0.13785760000246228,0.028269700000237208,0.014803699999902165
0,rbf_sampler_g0p01_c512_a1,rbf_sampler,0.01,512,1.0,60,103,0.5523959176005433,0.5349454660450088,0.34156492386685255,0.6159724196058987,0.7747249490300816,0.13785760000246228,0.052015400000527734,0.03436820000206353
0,rbf_sampler_g0p01_c512_a10,rbf_sampler,0.01,512,10.0,60,103,0.549370917563694,0.5318025322835263,0.3371150848062068,0.6173813680491408,0.7773384157956127,0.13785760000246228,0.052015400000527734,0.03362400000332855
0,nystroem_g0p001_c128_a1,nystroem,0.001,128,1.0,60,103,0.5940646173547947,0.5782386765109271,0.5587418920124518,0.5893730190431787,0.7377835646884501,0.13785760000246228,0.050970000000233995,0.00867879999714205
0,nystroem_g0p001_c128_a10,nystroem,0.001,128,10.0,60,103,0.5383557838464983,0.5203579586553286,0.4981855189466695,0.6295102954239772,0.7867816493618416,0.13785760000246228,0.050970000000233995,0.009579200002917787
0,nystroem_g0p001_c256_a1,nystroem,0.001,256,1.0,60,103,0.5996375217744686,0.5840288481594381,0.5233212191491998,0.5854248634022301,0.7327017133181303,0.13785760000246228,0.05252399999881163,0.016141599997354206
0,nystroem_g0p001_c256_a10,nystroem,0.001,256,10.0,60,103,0.5416048324778451,0.523733675849301,0.4542264535607403,0.6273409158590576,0.7840080788935689,0.13785760000246228,0.05252399999881163,0.014283599997725105
0,nystroem_g0p003_c128_a1,nystroem,0.003,128,1.0,60,103,0.5943901520838766,0.5785769026524488,0.559095753352902,0.5897125923863799,0.737487677271885,0.13785760000246228,0.027558899997529807,0.011111399999208516
0,nystroem_g0p003_c128_a10,nystroem,0.003,128,10.0,60,103,0.5589838316899572,0.5417902188903454,0.5206085294848686,0.6133132011525252,0.7690025474415779,0.13785760000246228,0.027558899997529807,0.008733400001801783
0,nystroem_g0p003_c256_a1,nystroem,0.003,256,1.0,60,103,0.6034500946035948,0.5879900593054894,0.5278605370596784,0.5830273535534182,0.7292046811437148,0.13785760000246228,0.049641300000075717,0.015650400000595255
0,nystroem_g0p003_c256_a10,nystroem,0.003,256,10.0,60,103,0.5662383104396242,0.5493275233222606,0.48355551630153326,0.6083744421395447,0.7626514821079243,0.13785760000246228,0.049641300000075717,0.015831599997909507
0,nystroem_g0p01_c128_a1,nystroem,0.01,128,1.0,60,103,0.5736025466703569,0.5569788642793377,0.536499301241265,0.6021389628349124,0.7561497688735315,0.13785760000246228,0.029755899999145186,0.00912860000244109
0,nystroem_g0p01_c128_a10,nystroem,0.01,128,10.0,60,103,0.5502101786946525,0.5326745131466858,0.5110714314974503,0.6168680025414176,0.7766142126951001,0.13785760000246228,0.029755899999145186,0.009828999998717336
0,nystroem_g0p01_c256_a1,nystroem,0.01,256,1.0,60,103,0.586938290798781,0.5708345204595522,0.508201285917536,0.5936646859160973,0.7442314035409027,0.13785760000246228,0.05183000000033644,0.017419299998437054
0,nystroem_g0p01_c256_a10,nystroem,0.01,256,10.0,60,103,0.5596067839319296,0.5424374577694318,0.475659901345611,0.611062170149805,0.7684592327234221,0.13785760000246228,0.05183000000033644,0.016108099996927194
1,rbf_sampler_g0p001_c256_a1,rbf_sampler,0.001,256,1.0,60,103,0.6089595241214588,0.5937142813971492,0.5344201631200391,0.5623038027311277,0.7143857308356891,0.06744470000194269,0.022801700000854908,0.015872400002990616
1,rbf_sampler_g0p001_c256_a10,rbf_sampler,0.001,256,10.0,60,103,0.5530308169511037,0.5356051178068972,0.4678304365635255,0.6053221076422506,0.763766675708157,0.06744470000194269,0.022801700000854908,0.017609900001843926
1,rbf_sampler_g0p001_c512_a1,rbf_sampler,0.001,512,1.0,60,103,0.6109900010463644,0.5958239192158132,0.42775806041686903,0.5608026815755689,0.7125285936305079,0.06744470000194269,0.044594599999982165,0.03623220000008587
1,rbf_sampler_g0p001_c512_a10,rbf_sampler,0.001,512,10.0,60,103,0.543797352355296,0.5260116740845473,0.3289162524527308,0.6131716666919188,0.7716152737500681,0.06744470000194269,0.044594599999982165,0.034766699998726835
1,rbf_sampler_g0p003_c256_a1,rbf_sampler,0.003,256,1.0,60,103,0.6111777216821566,0.5960189583949111,0.5370611891063055,0.5593948247828845,0.7123566540129777,0.06744470000194269,0.027007900000171503,0.015327799999795388
1,rbf_sampler_g0p003_c256_a10,rbf_sampler,0.003,256,10.0,60,103,0.581002611175178,0.5646674303243078,0.5011341588005285,0.5841763851086937,0.7394819422360767,0.06744470000194269,0.027007900000171503,0.017820800003391923
1,rbf_sampler_g0p003_c512_a1,rbf_sampler,0.003,512,1.0,60,103,0.6153705984577023,0.6003753001519596,0.4342020118986807,0.5564969785263446,0.7085053835568713,0.06744470000194269,0.05368610000004992,0.03885950000039884
1,rbf_sampler_g0p003_c512_a10,rbf_sampler,0.003,512,10.0,60,103,0.57841879806636,0.5619828837609548,0.37984513165419465,0.5868471490965508,0.7417585036212543,0.06744470000194269,0.05368610000004992,0.0377660999984073
1,rbf_sampler_g0p01_c256_a1,rbf_sampler,0.01,256,1.0,60,103,0.5803458294365171,0.5639850430597732,0.5003521826276924,0.5822763857234208,0.7400612872052549,0.06744470000194269,0.028238499999133637,0.01799580000079004
1,rbf_sampler_g0p01_c256_a10,rbf_sampler,0.01,256,10.0,60,103,0.5754148097928061,0.5588617809348259,0.4944812217860737,0.5877088264024894,0.7443965227981801,0.06744470000194269,0.028238499999133637,0.015032999999675667
1,rbf_sampler_g0p01_c512_a1,rbf_sampler,0.01,512,1.0,60,103,0.5917460841332114,0.5758297521306075,0.39944985145262646,0.5728733551691546,0.7299398845348454,0.06744470000194269,0.05068799999935436,0.034196000000520144
1,rbf_sampler_g0p01_c512_a10,rbf_sampler,0.01,512,10.0,60,103,0.583522453954604,0.5672855125883117,0.3873527174548407,0.5832967200662026,0.7372549733821225,0.06744470000194269,0.05068799999935436,0.03563199999916833
1,nystroem_g0p001_c128_a1,nystroem,0.001,128,1.0,60,103,0.6131693483502338,0.5980882313268512,0.579509033318847,0.560314049960037,0.710529894030423,0.06744470000194269,0.02815290000216919,0.009589699999196455
1,nystroem_g0p001_c128_a10,nystroem,0.001,128,10.0,60,103,0.5520589880409694,0.534595400830091,0.5130811161641808,0.6073610136214777,0.7645965399807847,0.06744470000194269,0.02815290000216919,0.009569999998348067
1,nystroem_g0p001_c256_a1,nystroem,0.001,256,1.0,60,103,0.61644735199591,0.6014940323856142,0.5433353059132242,0.5576690531052733,0.7075129732774985,0.06744470000194269,0.05172100000345381,0.016032499999710126
1,nystroem_g0p001_c256_a10,nystroem,0.001,256,10.0,60,103,0.5541500773252579,0.5367680140630847,0.46916304813334875,0.6057677482015875,0.7628097980967765,0.06744470000194269,0.05172100000345381,0.014829600000666687
1,nystroem_g0p003_c128_a1,nystroem,0.003,128,1.0,60,103,0.617156460866694,0.6022307868264092,0.5838430869652234,0.557182760535316,0.7068586487288937,0.06744470000194269,0.028652800003328593,0.009312000001955312
1,nystroem_g0p003_c128_a10,nystroem,0.003,128,10.0,60,103,0.5786499993307339,0.5622230987198463,0.5419859612031567,0.5872895348512275,0.7415550801500256,0.06744470000194269,0.028652800003328593,0.008886200001143152
1,nystroem_g0p003_c256_a1,nystroem,0.003,256,1.0,60,103,0.6227127954000038,0.6080037425890878,0.5507950557294163,0.5528471798903969,0.7017104648005312,0.06744470000194269,0.04893950000041514,0.01779769999848213
1,nystroem_g0p003_c256_a10,nystroem,0.003,256,10.0,60,103,0.5838363625278149,0.567611659312525,0.5045080742233625,0.583139229215012,0.7369770781101433,0.06744470000194269,0.04893950000041514,0.014816799997788621
1,nystroem_g0p01_c128_a1,nystroem,0.01,128,1.0,60,103,0.5980609996326961,0.5823908631661345,0.5630860220344535,0.5725940063826453,0.7242724888132015,0.06744470000194269,0.02951789999860921,0.010519200000999263
1,nystroem_g0p01_c128_a10,nystroem,0.01,128,10.0,60,103,0.5755543210887537,0.5590067312676525,0.5386209105512694,0.5891730018958063,0.744274214886413,0.06744470000194269,0.02951789999860921,0.009318000000348547
1,nystroem_g0p01_c256_a1,nystroem,0.01,256,1.0,60,103,0.6100280148635329,0.5948244286983685,0.5356923274510715,0.5626829718082819,0.7134090586926783,0.06744470000194269,0.055673699996987125,0.015358500000729691
1,nystroem_g0p01_c256_a10,nystroem,0.01,256,10.0,60,103,0.5846110291216349,0.5684165273330046,0.5054304062289607,0.581251747732869,0.7362908366904769,0.06744470000194269,0.055673699996987125,0.015071899997565197
2,rbf_sampler_g0p001_c256_a1,rbf_sampler,0.001,256,1.0,60,103,0.5795655212330535,0.5631743134838547,0.49942313361999435,0.5909267009586187,0.7366300834274342,0.06362520000038785,0.022402799997507827,0.014252299999498064
2,rbf_sampler_g0p001_c256_a10,rbf_sampler,0.001,256,10.0,60,103,0.5205063094395507,0.5018125983065898,0.4291061718494724,0.631300611907585,0.7866684585135695,0.06362520000038785,0.022402799997507827,0.014379799999005627
2,rbf_sampler_g0p001_c512_a1,rbf_sampler,0.001,512,1.0,60,103,0.5826499393535075,0.5663789818234299,0.3860692300149573,0.5900562210430421,0.7339230532194573,0.06362520000038785,0.04296700000122655,0.03587300000071991
2,rbf_sampler_g0p001_c512_a10,rbf_sampler,0.001,512,10.0,60,103,0.5166657584731255,0.4978223182576528,0.2890051037704946,0.636551207580472,0.7898126236468905,0.06362520000038785,0.04296700000122655,0.031120399999053916
2,rbf_sampler_g0p003_c256_a1,rbf_sampler,0.003,256,1.0,60,103,0.5829381746710027,0.5666784543852719,0.5034386755762721,0.5876157834298463,0.7336695740644934,0.06362520000038785,0.02588079999986803,0.014292600000771927
2,rbf_sampler_g0p003_c256_a10,rbf_sampler,0.003,256,10.0,60,103,0.5464186726853519,0.5287351901389719,0.45995789845411594,0.6147940770701962,0.7651170374115706,0.06362520000038785,0.02588079999986803,0.013431999999738764
2,rbf_sampler_g0p003_c512_a1,rbf_sampler,0.003,512,1.0,60,103,0.5877053148436422,0.5716314479759479,0.39350579432841204,0.5852043088946576,0.7294644929480474,0.06362520000038785,0.048277199999574805,0.03558559999873978
2,rbf_sampler_g0p003_c512_a10,rbf_sampler,0.003,512,10.0,60,103,0.5453069986758075,0.5275801760120963,0.33113697413304155,0.6178288169888876,0.7660540691580052,0.06362520000038785,0.048277199999574805,0.032066400002804585
2,rbf_sampler_g0p01_c256_a1,rbf_sampler,0.01,256,1.0,60,103,0.5490656529252311,0.5314853664895676,0.46310944082460503,0.6102554201022563,0.7628812608098944,0.06362520000038785,0.028246300000319025,0.01529340000342927
2,rbf_sampler_g0p01_c256_a10,rbf_sampler,0.01,256,10.0,60,103,0.5392387649617918,0.5212753639856433,0.4514093709411058,0.6186156739870623,0.771148922136989,0.06362520000038785,0.028246300000319025,0.01424820000102045
2,rbf_sampler_g0p01_c512_a1,rbf_sampler,0.01,512,1.0,60,103,0.5590713068321673,0.5418811043694838,0.3513845626721578,0.6053665134552968,0.7543701054606908,0.06362520000038785,0.04927910000333213,0.03204429999823333
2,rbf_sampler_g0p01_c512_a10,rbf_sampler,0.01,512,10.0,60,103,0.5425277694883022,0.5246925948094836,0.32704866919208386,0.6196115563376676,0.768391686389504,0.06362520000038785,0.04927910000333213,0.032163500000024214
2,nystroem_g0p001_c128_a1,nystroem,0.001,128,1.0,60,103,0.5837812658991139,0.5675544146671105,0.5475637281935304,0.5868818469202034,0.7329276417403406,0.06362520000038785,0.02727930000037304,0.009986699998989934
2,nystroem_g0p001_c128_a10,nystroem,0.001,128,10.0,60,103,0.5212497777929537,0.502585051780983,0.47959102290342137,0.6307025321751865,0.7860583462194791,0.06362520000038785,0.02727930000037304,0.009080199997697491
2,nystroem_g0p001_c256_a1,nystroem,0.001,256,1.0,60,103,0.5883496430667924,0.5723008962077979,0.5098816673594944,0.5829360197337718,0.7288942717517105,0.06362520000038785,0.04990669999824604,0.01389510000080918
2,nystroem_g0p001_c256_a10,nystroem,0.001,256,10.0,60,103,0.5236398683546386,0.5050683232612523,0.4328370435585013,0.6290961644294513,0.7840937504182725,0.06362520000038785,0.04990669999824604,0.012409399998432491
2,nystroem_g0p003_c128_a1,nystroem,0.003,128,1.0,60,103,0.5896979491570576,0.5737017678376447,0.5539952554059383,0.5831195774357897,0.7276995944909195,0.06362520000038785,0.026129000001674285,0.009004800002003321
2,nystroem_g0p003_c128_a10,nystroem,0.003,128,10.0,60,103,0.5451174715333835,0.5273832598972581,0.5055355791855066,0.6145477293467505,0.7662137075424973,0.06362520000038785,0.026129000001674285,0.00855779999983497
2,nystroem_g0p003_c256_a1,nystroem,0.003,256,1.0,60,103,0.5970920833361941,0.5813841723551489,0.5202905742774195,0.577054650199627,0.721112775026278,0.06362520000038785,0.051807300002110424,0.015251900000293972
2,nystroem_g0p003_c256_a10,nystroem,0.003,256,10.0,60,103,0.5512123873716013,0.5337157942866735,0.4656653815392334,0.6101918469718168,0.7610631943077697,0.06362520000038785,0.051807300002110424,0.014776900003198534
2,nystroem_g0p01_c128_a1,nystroem,0.01,128,1.0,60,103,0.5717097390279613,0.5550122629666732,0.534441789738756,0.5965305612126021,0.7434801681971275,0.06362520000038785,0.02921060000153375,0.009598200002074009
2,nystroem_g0p01_c128_a10,nystroem,0.01,128,10.0,60,103,0.5414404473942134,0.523562881990479,0.501538596453669,0.6172038165235075,0.7693043028744686,0.06362520000038785,0.02921060000153375,0.009580500001902692
2,nystroem_g0p01_c256_a1,nystroem,0.01,256,1.0,60,103,0.58346872463592,0.5672296885593477,0.5040703579246733,0.5884536854218299,0.7332027700872923,0.06362520000038785,0.05514499999844702,0.018098299999110168
2,nystroem_g0p01_c256_a10,nystroem,0.01,256,10.0,60,103,0.5510004587341253,0.5334956033241497,0.4654130554846362,0.611186034065752,0.7612428695531942,0.06362520000038785,0.05514499999844702,0.015405199999804609
3,rbf_sampler_g0p001_c256_a1,rbf_sampler,0.001,256,1.0,60,103,0.57869357273021,0.5622683708873333,0.4983849760205554,0.5890825793968334,0.7454372417208074,0.06975510000120266,0.022643099997367244,0.01532759999827249
3,rbf_sampler_g0p001_c256_a10,rbf_sampler,0.001,256,10.0,60,103,0.514622767309265,0.49569967831547423,0.42210112057149285,0.6339447394201335,0.800113769561276,0.06975510000120266,0.022643099997367244,0.014837400001852075
3,rbf_sampler_g0p001_c512_a1,rbf_sampler,0.001,512,1.0,60,103,0.5854095992294299,0.5692462307783356,0.39012874808450637,0.5854491133147467,0.7394718823369545,0.06975510000120266,0.042729500000859844,0.032059499997558305
3,rbf_sampler_g0p001_c512_a10,rbf_sampler,0.001,512,10.0,60,103,0.523385095490009,0.5048036177313349,0.2988893906978145,0.6281140239126686,0.7928588048571128,0.06975510000120266,0.042729500000859844,0.03093529999750899
3,rbf_sampler_g0p003_c256_a1,rbf_sampler,0.003,256,1.0,60,103,0.5801709639978037,0.5638033602550279,0.5001439846853969,0.5887401001669859,0.7441290850225044,0.06975510000120266,0.026117600002180552,0.01461349999954109
3,rbf_sampler_g0p003_c256_a10,rbf_sampler,0.003,256,10.0,60,103,0.5405044307041129,0.5225903734216222,0.45291629538039946,0.6146977379027887,0.7784894077235331,0.06975510000120266,0.026117600002180552,0.014996900001278846
3,rbf_sampler_g0p003_c512_a1,rbf_sampler,0.003,512,1.0,60,103,0.5883000329339363,0.5722493519567018,0.3943806372229661,0.5818043860745102,0.7368896555739514,0.06975510000120266,0.04975430000195047,0.032533100002183346
3,rbf_sampler_g0p003_c512_a10,rbf_sampler,0.003,512,10.0,60,103,0.5495054765829668,0.5319423372684625,0.33731302397071194,0.6104108427715574,0.7708267928042785,0.06975510000120266,0.04975430000195047,0.03361579999909736
3,rbf_sampler_g0p01_c256_a1,rbf_sampler,0.01,256,1.0,60,103,0.5390784243402069,0.5211087722677004,0.4512184665078115,0.6162767672492764,0.7796964605853344,0.06975510000120266,0.027819700000691228,0.01499810000314028
3,rbf_sampler_g0p01_c256_a10,rbf_sampler,0.01,256,10.0,60,103,0.5292755752006595,0.5109237457737846,0.4395470176812022,0.6226579555796833,0.7879441047162239,0.06975510000120266,0.027819700000691228,0.015060300000186544
3,rbf_sampler_g0p01_c512_a1,rbf_sampler,0.01,512,1.0,60,103,0.5484363382148439,0.5308315170926157,0.33574029880914025,0.6093622528763095,0.7717409350123291,0.06975510000120266,0.04923579999740468,0.03343949999907636
3,rbf_sampler_g0p01_c512_a10,rbf_sampler,0.01,512,10.0,60,103,0.5410520381942048,0.5231593301316007,0.3248778372332414,0.6174765120542912,0.7780253839674407,0.06975510000120266,0.04923579999740468,0.032591200000751996
3,nystroem_g0p001_c128_a1,nystroem,0.001,128,1.0,60,103,0.5879768290054628,0.571913547485208,0.5521243708903705,0.5848971871540659,0.7371788454283372,0.06975510000120266,0.029997199999343138,0.009081899999728194
3,nystroem_g0p001_c128_a10,nystroem,0.001,128,10.0,60,103,0.5251171676739472,0.5066032170959334,0.48379493617310776,0.627673983350756,0.7914168245368156,0.06975510000120266,0.029997199999343138,0.008626700000604615
3,nystroem_g0p001_c256_a1,nystroem,0.001,256,1.0,60,103,0.5926016022204668,0.5767186237495299,0.5149441265454403,0.5813686477118986,0.7330299210341581,0.06975510000120266,0.04703299999891897,0.013847199999872828
3,nystroem_g0p001_c256_a10,nystroem,0.001,256,10.0,60,103,0.5277829017198676,0.5093728783951061,0.4377698137379512,0.6258657503212828,0.7891924065796934,0.06975510000120266,0.04703299999891897,0.013073499998426996
3,nystroem_g0p003_c128_a1,nystroem,0.003,128,1.0,60,103,0.5903069261156049,0.5743344865879481,0.5546572228816127,0.5836060843592874,0.7350914219333826,0.06975510000120266,0.02769310000076075,0.009608899999875575
3,nystroem_g0p003_c128_a10,nystroem,0.003,128,10.0,60,103,0.5472124362762408,0.5295598996788233,0.5078128386170694,0.6125914694320733,0.7727860767759493,0.06975510000120266,0.02769310000076075,0.008640699998068158
3,nystroem_g0p003_c256_a1,nystroem,0.003,256,1.0,60,103,0.5995060193123134,0.5838922188956395,0.5231646499481676,0.5767502892453678,0.7267918362298138,0.06975510000120266,0.051289299997733906,0.014211400000931462
3,nystroem_g0p003_c256_a10,nystroem,0.003,256,10.0,60,103,0.5538630025589749,0.5364697472981161,0.4688212517437088,0.6078978420233295,0.767089722125194,0.06975510000120266,0.051289299997733906,0.014660999997431645
3,nystroem_g0p01_c128_a1,nystroem,0.01,128,1.0,60,103,0.5664525077181473,0.5495500713718762,0.5287270971049065,0.6004132256461316,0.7561890479549456,0.06975510000120266,0.027588599998125574,0.00915549999990617
3,nystroem_g0p01_c128_a10,nystroem,0.01,128,10.0,60,103,0.5365442533697634,0.5184758032087405,0.49621635699405287,0.6197769271393504,0.7818369285111293,0.06975510000120266,0.027588599998125574,0.010487100000318605
3,nystroem_g0p01_c256_a1,nystroem,0.01,256,1.0,60,103,0.5819386058247373,0.5656399159933432,0.502248570896318,0.5889513074293447,0.7425608976877274,0.06975510000120266,0.050035899999784306,0.014624999999796273
3,nystroem_g0p01_c256_a10,nystroem,0.01,256,10.0,60,103,0.5485772665272484,0.5309779396862054,0.46252795917875666,0.6111880620360394,0.7716204994637662,0.06975510000120266,0.050035899999784306,0.014515400001982925
4,rbf_sampler_g0p001_c256_a1,rbf_sampler,0.001,256,1.0,60,103,0.6038943741523185,0.5884516596943192,0.5283895042960218,0.5733662280697975,0.7153760538065562,0.07100960000025225,0.02155059999859077,0.013963000001240289
4,rbf_sampler_g0p001_c256_a10,rbf_sampler,0.001,256,10.0,60,103,0.5455653822375721,0.5278486330070681,0.45894195547124184,0.6120407759211443,0.7662396072132036,0.07100960000025225,0.02155059999859077,0.01579889999993611
4,rbf_sampler_g0p001_c512_a1,rbf_sampler,0.001,512,1.0,60,103,0.6134977282646815,0.5984294135771447,0.43144698021639905,0.570852697134117,0.7066509038371317,0.07100960000025225,0.04255820000253152,0.034667200001422316
4,rbf_sampler_g0p001_c512_a10,rbf_sampler,0.001,512,10.0,60,103,0.5458736062759302,0.5281688735771359,0.33197046590175927,0.6145187015489129,0.7659797089604179,0.07100960000025225,0.04255820000253152,0.03307919999861042
4,rbf_sampler_g0p003_c256_a1,rbf_sampler,0.003,256,1.0,60,103,0.601887444771098,0.5863664874522324,0.5260000180111584,0.5753305576128135,0.717186044829327,0.07100960000025225,0.02599700000064331,0.013649900000018533
4,rbf_sampler_g0p003_c256_a10,rbf_sampler,0.003,256,10.0,60,103,0.5693230933962796,0.5525325707216706,0.4872283144755407,0.595657821027012,0.7459413562325174,0.07100960000025225,0.02599700000064331,0.013735799999267329
4,rbf_sampler_g0p003_c512_a1,rbf_sampler,0.003,512,1.0,60,103,0.6158569005981993,0.6008805614402344,0.4349173726370935,0.5687237725428791,0.7044909384901917,0.07100960000025225,0.04878950000056648,0.032397899998613866
