fold,model,residual_model,weight,r2,adjusted_r2_raw,adjusted_r2_transformed,mae,rmse,fit_seconds
0,base_elastic,none,0.0,0.6154278025467421,0.6004347344199095,0.6004347344199095,0.576430202619688,0.7181075032947203,0.11282710000159568
0,ridge_residual_w0p25,ridge,0.25,0.6149276858262085,0.5999151199714798,0.5999151199714798,0.5763077564858192,0.7185742828587484,0.11485580000226037
0,ridge_residual_w0p5,ridge,0.5,0.6137265300176551,0.598667135476433,0.598667135476433,0.5768172899880646,0.7196941343873635,0.11485580000226037
0,ridge_residual_w0p75,ridge,0.75,0.6118243351210817,0.5966907809347691,0.5966907809347691,0.5779703875527145,0.721464016805421,0.11485580000226037
0,ridge_residual_w1p0,ridge,1.0,0.6092211011364885,0.593986056346488,0.593986056346488,0.5795927691110951,0.7238791621577965,0.11485580000226037
0,lightgbm_residual_w0p25,lightgbm,0.25,0.614424357873302,0.5993921690964327,0.5993921690964327,0.5766926044793965,0.7190437536557772,0.9914615000016056
0,lightgbm_residual_w0p5,lightgbm,0.5,0.6125365858116675,0.5974307996834674,0.5974307996834674,0.5773246473747448,0.720801817671255,0.9914615000016056
0,lightgbm_residual_w0p75,lightgbm,0.75,0.6097644863618386,0.5945506261810136,0.5945506261810136,0.5789167270942194,0.723375703454686,0.9914615000016056
0,lightgbm_residual_w1p0,lightgbm,1.0,0.6061080595238149,0.5907516485890708,0.5907516485890708,0.5813723267241726,0.7267567431008264,0.9914615000016056
1,base_elastic,none,0.0,0.6307211075821254,0.6163242696710971,0.6163242696710971,0.5447296500504968,0.6942232545888491,0.10882140000103391
1,ridge_residual_w0p25,ridge,0.25,0.6303126450719521,0.6158998826965896,0.6158998826965896,0.5450818509079666,0.6946070915873402,0.12277390000235755
1,ridge_residual_w0p5,ridge,0.5,0.6291723133500255,0.6147150935975898,0.6147150935975898,0.5460510214186701,0.6956775537214038,0.12277390000235755
1,ridge_residual_w0p75,ridge,0.75,0.6273001124163463,0.6127699023740987,0.6127699023740987,0.5476002030551724,0.6974314793705927,0.12277390000235755
1,ridge_residual_w1p0,ridge,1.0,0.624696042270914,0.6100643090261153,0.6100643090261153,0.549735065016805,0.6998637300783587,0.12277390000235755
1,lightgbm_residual_w0p25,lightgbm,0.25,0.6302897678774027,0.6158761136036173,0.6158761136036173,0.5447808571750535,0.694628583282318,0.838351700000203
1,lightgbm_residual_w0p5,lightgbm,0.5,0.6290393117684405,0.6145769067691594,0.6145769067691594,0.5457173815956707,0.6958022988838346,0.838351700000203
1,lightgbm_residual_w0p75,lightgbm,0.75,0.6269697392552389,0.6124266491677238,0.6124266491677238,0.5473351308940835,0.6977405237404668,0.838351700000203
1,lightgbm_residual_w1p0,lightgbm,1.0,0.6240810503377977,0.6094253407993103,0.6094253407993103,0.5497467596344636,0.700436911310059,0.838351700000203
2,base_elastic,none,0.0,0.6132171597725645,0.5981379067422552,0.5981379067422552,0.5616708297851275,0.7065353376461748,0.11226800000076764
2,ridge_residual_w0p25,ridge,0.25,0.613661349842328,0.5985994141636664,0.5985994141636664,0.5612006877711941,0.7061295206034943,0.12113429999953951
2,ridge_residual_w0p5,ridge,0.5,0.6134535586472181,0.5983835219473046,0.5983835219473046,0.5613730867162647,0.7063193900004417,0.12113429999953951
2,ridge_residual_w0p75,ridge,0.75,0.6125937861872349,0.5974902300931699,0.5974902300931699,0.5622002980226327,0.70710446598181,0.12113429999953951
2,ridge_residual_w1p0,ridge,1.0,0.6110820324623782,0.5959195386012623,0.5959195386012623,0.5634869609905938,0.7084827698894266,0.12113429999953951
2,lightgbm_residual_w0p25,lightgbm,0.25,0.6132361489276079,0.598157636215234,0.598157636215234,0.5609549426777332,0.7065179937100559,0.6883173000023817
2,lightgbm_residual_w0p5,lightgbm,0.5,0.6123032353096753,0.5971883516960175,0.5971883516960175,0.5610577102190841,0.7073695770059645,0.6883173000023817
2,lightgbm_residual_w0p75,lightgbm,0.75,0.6104184189187667,0.5952300531846055,0.5952300531846055,0.5618474085584996,0.7090869569067946,0.6883173000023817
2,lightgbm_residual_w1p0,lightgbm,1.0,0.6075816997548817,0.5922827406809981,0.5922827406809981,0.5636368744995587,0.7116638654458339,0.6883173000023817
3,base_elastic,none,0.0,0.6185965104429741,0.6037269786863649,0.6037269786863649,0.5620173521414145,0.709258215336193,0.11493930000142427
3,ridge_residual_w0p25,ridge,0.25,0.6187551714675791,0.6038918253259642,0.6038918253259642,0.5617978940396787,0.7091106769106772,0.12060159999964526
3,ridge_residual_w0p5,ridge,0.5,0.6182463372805098,0.6033631535487558,0.6033631535487558,0.5620563027950997,0.7095837317755833,0.12060159999964526
3,ridge_residual_w0p75,ridge,0.75,0.6170700078817666,0.6021409633547399,0.6021409633547399,0.5628388075169454,0.7106761406557943,0.12060159999964526
3,ridge_residual_w1p0,ridge,1.0,0.615226183271349,0.6002252547439162,0.6002252547439162,0.5642532183256473,0.7123850543064986,0.12060159999964526
3,lightgbm_residual_w0p25,lightgbm,0.25,0.6174147074346148,0.6024991014866465,0.6024991014866465,0.5631118237222357,0.7103562063257968,0.6097607999981847
3,lightgbm_residual_w0p5,lightgbm,0.5,0.615347494477791,0.6003512954320909,0.6003512954320909,0.564920327755643,0.7122727453351796,0.6097607999981847
3,lightgbm_residual_w0p75,lightgbm,0.75,0.6123948715725029,0.597283560522698,0.597283560522698,0.5673992989703275,0.7150012501157523,0.6097607999981847
3,lightgbm_residual_w1p0,lightgbm,1.0,0.6085568387187505,0.5932958967584679,0.5932958967584679,0.5705340162868265,0.7185324708215372,0.6097607999981847
4,base_elastic,none,0.0,0.635015721756758,0.6207863151975673,0.6207863151975673,0.5544152552382782,0.6866982997640637,0.11319160000130069
4,ridge_residual_w0p25,ridge,0.25,0.6346995271509945,0.6204577933167253,0.6204577933167253,0.5550616237844695,0.6869956869464434,0.1192789000015182
4,ridge_residual_w0p5,ridge,0.5,0.6336935821448106,0.6194126301816454,0.6194126301816454,0.5561261206872988,0.6879409427304813,0.1192789000015182
4,ridge_residual_w0p75,ridge,0.75,0.6319978867382066,0.6176508257923277,0.6176508257923277,0.5574623134726923,0.6895314026964394,0.1192789000015182
4,ridge_residual_w1p0,ridge,1.0,0.6296124409311821,0.6151723801487721,0.6151723801487721,0.5592592685124275,0.6917626166119872,0.1192789000015182
4,lightgbm_residual_w0p25,lightgbm,0.25,0.6343166961255152,0.6200600371050675,0.6200600371050675,0.5555306041696811,0.6873555747823491,0.6586405000016384
4,lightgbm_residual_w0p5,lightgbm,0.5,0.6326816640157249,0.6183612610533751,0.6183612610533751,0.5573401944134703,0.6888905026762843,0.6586405000016384
4,lightgbm_residual_w0p75,lightgbm,0.75,0.6301106254273869,0.6156899870424897,0.6156899870424897,0.5599195202319848,0.6912972373577708,0.6586405000016384
4,lightgbm_residual_w1p0,lightgbm,1.0,0.6266035803605013,0.6120462150724117,0.6120462150724117,0.5631142264929321,0.6945667162246411,0.6586405000016384
