contract,fold,model,source_feature_count,engineered_feature_count,transformed_width,r2,adjusted_r2_raw,adjusted_r2_transformed,mae,rmse,fit_seconds
competition,0,lightgbm_fixed,62,64,111,0.5861640170426794,0.5689096177532537,0.5552931876688469,0.5997773634305216,0.7449285984731552,3.0196735999998054
competition,0,catboost_fixed,62,64,111,0.5936549421779371,0.5767128681058772,0.5633429116549203,0.5938625755684582,0.7381557611077252,10.785866700000042
competition,1,lightgbm_fixed,62,64,111,0.6055534909450133,0.5891075127173135,0.576129053777605,0.5664417266706097,0.7174901997467771,0.8682138999974995
competition,1,catboost_fixed,62,64,111,0.6183410335651156,0.6024282167235309,0.5898705058270295,0.556666264356022,0.7057642406007002,1.304590100000496
competition,2,lightgbm_fixed,62,64,111,0.5943211582925023,0.5774068613092581,0.5640588253425478,0.5724095387523493,0.7235881864686582,1.1647919999995793
competition,2,catboost_fixed,62,64,111,0.6034029444675905,0.5868673017613533,0.5738180834702131,0.5686520477194673,0.715442988428917,1.6340825999977824
competition,3,lightgbm_fixed,62,64,111,0.5797736641869434,0.5622528267328486,0.5484261351041146,0.5904252196267161,0.744481100257435,0.8914263000006031
competition,3,catboost_fixed,62,64,111,0.5906723015526538,0.5736058698258589,0.5601377756604122,0.5816988430795818,0.734763561547022,1.3457319999979518
competition,4,lightgbm_fixed,62,64,111,0.5989436509496308,0.582222083301928,0.5690261410406314,0.5823018708923647,0.7198327327359937,0.7825726000010036
competition,4,catboost_fixed,62,64,111,0.6185238842095182,0.6026186911081561,0.5900669965396637,0.5669433158294985,0.7020411505698395,1.3303952000023855
scientific_proxy_removed,0,lightgbm_fixed,58,60,103,0.5848466487569104,0.5686613329189731,0.5562632295202539,0.5987307255853758,0.7461133257686732,0.8137499000004027
scientific_proxy_removed,0,catboost_fixed,58,60,103,0.5953937895285907,0.5796196682626489,0.5675365437541555,0.590887457931807,0.7365746956384637,1.2481425000005402
scientific_proxy_removed,1,lightgbm_fixed,58,60,103,0.6073951407415747,0.5920889084118116,0.580364191207071,0.5648810352769665,0.715813278278746,0.710394499998074
scientific_proxy_removed,1,catboost_fixed,58,60,103,0.6187016596292827,0.6038362272561553,0.5924491669433309,0.5563900288648569,0.7054307267128851,1.2995797000003222
scientific_proxy_removed,2,lightgbm_fixed,58,60,103,0.5945806812675251,0.5787748598744462,0.5666674527719069,0.5740644835733225,0.7233567006450404,0.8748711000007461
scientific_proxy_removed,2,catboost_fixed,58,60,103,0.6019126133397972,0.5863926372516801,0.5745041903277646,0.5704588222248842,0.7167859726162366,1.3949587999995856
scientific_proxy_removed,3,lightgbm_fixed,58,60,103,0.5810432964458585,0.564709701765385,0.5521980153856468,0.5891516336591297,0.7433555969648564,0.67566060000172
scientific_proxy_removed,3,catboost_fixed,58,60,103,0.5960535124520623,0.5803051113780686,0.5682416887773045,0.5781960681189723,0.729917812242352,1.349261800001841
scientific_proxy_removed,4,lightgbm_fixed,58,60,103,0.6032951070062476,0.5878290293066861,0.5759818690528007,0.5797972208766801,0.7159169945499062,0.6824450999993132
scientific_proxy_removed,4,catboost_fixed,58,60,103,0.620609221374819,0.6058181578806598,0.5944880648250906,0.5661270147241921,0.7001196689144716,1.364410800000769
