order,experiment,role,feature_contract,best_model,oof_adjusted_r2_raw,fold_adjusted_r2_raw_mean,fold_adjusted_r2_raw_std,oof_r2,oof_mae,oof_rmse,decision,decision_reason,run_id,summary_path,manifest_path,holdout_evaluated
1,multicollinearity_baselines,baseline,scientific_proxy_removed,pls_8,0.6148622197297682,0.6028435159760208,0.0091307940667381,0.6176548177114751,0.5640627555151959,0.7080304348297646,baseline_control,PLS established the strongest raw-time baseline under the proxy-removed contract.,20260829T172431+0800_task2_baseline_c64a3f82,outputs/tables/task2_multicollinearity_baselines_summary_metrics.csv,outputs/logs/task2_multicollinearity_baselines_manifest.json,False
2,cyclic_time_encoding,controlled_feature_engineering,scientific_proxy_removed,elastic_net_fixed,0.616607643898979,0.6042233204145091,0.0096185558039013,0.6194834460450049,0.5624409468504321,0.7063352699040525,promoted,Cyclic time encoding improved the adjusted R2 control on identical folds.,20260829T172956+0800_task2_cyclic_time_af600f17,outputs/tables/task2_cyclic_time_encoding_summary_metrics.csv,outputs/logs/task2_cyclic_time_encoding_manifest.json,False
3,elastic_tuning,candidate_selection,scientific_proxy_removed,elastic_a0p01_l1_0p9,0.6201624354997604,0.6078820409434388,0.0100681004670953,0.6230115733757466,0.559852657967001,0.7030530944052009,selected,The bounded grid selected alpha=0.01 and l1_ratio=0.9 without holdout feedback.,20260829T173352+0800_task2_elastic_tuning_59b765b7,outputs/tables/task2_cyclic_elastic_tuning_summary_metrics.csv,outputs/logs/task2_cyclic_elastic_tuning_manifest.json,False
4,competition_contract_comparator,proxy_sensitivity,competition,elastic_a0p01_l1_0p9,0.6199117677866997,0.6067995861956037,0.0101311068692585,0.6229528537801553,0.5598479081682621,0.7031078459347389,scientific_comparator,The four disclosed composite proxies did not improve adjusted or raw OOF R2.,20260829T173352+0800_task2_elastic_tuning_59b765b7,outputs/tables/task2_cyclic_elastic_tuning_summary_metrics.csv,outputs/logs/task2_cyclic_elastic_tuning_manifest.json,False
5,fixed_strong_models,model_family_comparison,scientific_proxy_removed,catboost_fixed,0.6039500327254809,0.5911943604058425,0.0127404673961879,0.606920778823302,0.5724118783729425,0.7179003393806886,rejected,CatBoost and LightGBM both underperformed the tuned Elastic Net.,20260829T173919+0800_task2_strong_fixed_fbe8122d,outputs/tables/task2_cyclic_strong_models_fixed_summary_metrics.csv,outputs/logs/task2_cyclic_strong_models_fixed_manifest.json,False
6,nested_residual_correction,controlled_residual_improvement,scientific_proxy_removed,base_elastic,0.6201624354997604,0.6078820409434388,0.0100681004670953,0.6230115733757466,0.559852657967001,0.7030530944052009,rejected,Leakage-safe residual correction did not exceed the unchanged base Elastic Net.,20260829T175953+0800_task2_nested_residual_d5661a2c,outputs/tables/task2_cyclic_nested_residual_correction_summary_metrics.csv,outputs/logs/task2_cyclic_nested_residual_correction_manifest.json,False
7,targeted_additive_models,controlled_structured_nonlinearity,scientific_proxy_removed,additive_elastic_k3_d3_a0p01,0.6197302349626395,0.607430498806822,0.009480097543756,0.6225826147478928,0.560344455218661,0.7034529673579208,rejected,Targeted spline nonlinearities did not provide a material improvement.,20260829T182540+0800_task2_additive_86e17dc7,outputs/tables/task2_cyclic_targeted_additive_models_summary_metrics.csv,outputs/logs/task2_cyclic_targeted_additive_models_manifest.json,False
8,latent_factor_models,controlled_multicollinearity_structure,scientific_proxy_removed,pcr_80,0.615995651952933,0.603579609379476,0.0103187286794837,0.6188760446123684,0.5633476399976702,0.7068987906983215,rejected,PLS and PCR compression did not outperform sparse regularization.,20260829T182928+0800_task2_latent_factor_f7423cdb,outputs/tables/task2_cyclic_latent_factor_models_summary_metrics.csv,outputs/logs/task2_cyclic_latent_factor_models_manifest.json,False
9,kernel_approximation_models,controlled_smooth_interactions,scientific_proxy_removed,nystroem_g0p003_c256_a1,0.6060840555380826,0.593339691292063,0.0124697203669344,0.6090387944639127,0.5710007043784003,0.7159636077379845,rejected,RBF and Nystroem approximations lost substantial adjusted R2.,20260829T183308+0800_task2_kernel_22f5be57,outputs/tables/task2_cyclic_kernel_approximation_models_summary_metrics.csv,outputs/logs/task2_cyclic_kernel_approximation_models_manifest.json,False
10,learning_curve,diagnostic_stop_confirmation,scientific_proxy_removed,elastic_a0p01_l1_0p9,0.6201624354997604,0.6078820409434388,0.010068100467095343,0.6230115733757466,0.559852657967001,0.7030530944052009,confirmed_plateau,The 80%-to-100% gain and full-data generalization gap satisfied the frozen stop rule.,20260829T190021+0800_task2_learning_curve_3d139646,outputs/tables/task2_cyclic_elastic_learning_curve_aggregate.csv,outputs/logs/task2_cyclic_elastic_learning_curve_manifest.json,False
