contract,feature,dtype,is_composite_proxy,is_high_signal_driver,prediction_time_available
competition,Age,int64,False,False,True
competition,Gender,str,False,False,True
competition,Height_cm,float64,False,False,True
competition,Weight_kg,float64,False,False,True
competition,BMI,float64,False,False,True
competition,Country,str,False,False,True
competition,Occupation,str,False,False,True
competition,Marital_Status,str,False,False,True
competition,Wake_Up_Time,str,False,False,True
competition,Sleep_Time,str,False,False,True
competition,Sleep_Duration_Hours,float64,False,False,True
competition,Sleep_Quality_Score,float64,False,True,True
competition,Number_of_Night_Awakenings,int64,False,False,True
competition,Weekend_Sleep_Difference_Hours,float64,False,False,True
competition,Nap_Frequency_Per_Week,int64,False,False,True
competition,Screen_Time_Before_Bed_Hours,float64,False,False,True
competition,Exercise_Frequency_Per_Week,int64,False,False,True
competition,Exercise_Duration_Minutes,int64,False,False,True
competition,Exercise_Type,str,False,False,True
competition,Daily_Steps,int64,False,False,True
competition,Morning_Workout,str,False,False,True
competition,Workout_Intensity,str,False,False,True
competition,Gym_Member,str,False,False,True
competition,Daily_Calorie_Intake,int64,False,False,True
competition,Water_Intake_Liters,float64,False,False,True
competition,Fruit_Intake_Per_Day,int64,False,False,True
competition,Vegetable_Intake_Per_Day,int64,False,False,True
competition,Protein_Intake_Grams,float64,False,False,True
competition,Sugary_Drinks_Per_Week,int64,False,False,True
competition,Fast_Food_Meals_Per_Week,int64,False,False,True
competition,Breakfast_Regularity_Score,float64,False,False,True
competition,Smoking_Status,str,False,False,True
competition,Alcohol_Consumption,str,False,False,True
competition,Stress_Level,float64,False,True,True
competition,Working_Hours_Per_Day,float64,False,False,True
competition,Sitting_Hours_Per_Day,float64,False,False,True
competition,Outdoor_Time_Hours,float64,False,False,True
competition,Social_Interaction_Score,float64,False,False,True
competition,Meditation_Practice,str,False,False,True
competition,Resting_Heart_Rate,int64,False,False,True
competition,Systolic_BP,int64,False,False,True
competition,Diastolic_BP,int64,False,False,True
competition,Cholesterol_Level,float64,False,False,True
competition,Blood_Sugar_Level,float64,False,False,True
competition,Energy_Level_Score,float64,False,True,True
competition,Fatigue_Level_Score,float64,False,True,True
competition,Immune_Health_Score,float64,False,False,True
competition,Mood_Score,float64,False,True,True
competition,Anxiety_Score,float64,False,True,True
competition,Depression_Risk_Score,float64,False,True,True
competition,Focus_Concentration_Score,float64,False,True,True
competition,Life_Satisfaction_Score,float64,False,True,True
competition,Obesity_Risk,str,False,False,True
competition,Hypertension_Risk,str,False,False,True
competition,Diabetes_Risk,str,False,False,True
competition,Cardiovascular_Risk,str,False,False,True
competition,Sleep_Disorder_Risk,str,False,False,True
competition,Health_Score,float64,True,False,True
competition,Fitness_Level,str,True,False,True
competition,Healthy_Aging_Score,float64,True,False,True
competition,Wellness_Category,str,True,False,True
competition,Early_Waker,str,False,False,True
scientific_proxy_removed,Age,int64,False,False,True
scientific_proxy_removed,Gender,str,False,False,True
scientific_proxy_removed,Height_cm,float64,False,False,True
scientific_proxy_removed,Weight_kg,float64,False,False,True
scientific_proxy_removed,BMI,float64,False,False,True
scientific_proxy_removed,Country,str,False,False,True
scientific_proxy_removed,Occupation,str,False,False,True
scientific_proxy_removed,Marital_Status,str,False,False,True
scientific_proxy_removed,Wake_Up_Time,str,False,False,True
scientific_proxy_removed,Sleep_Time,str,False,False,True
scientific_proxy_removed,Sleep_Duration_Hours,float64,False,False,True
scientific_proxy_removed,Sleep_Quality_Score,float64,False,True,True
scientific_proxy_removed,Number_of_Night_Awakenings,int64,False,False,True
scientific_proxy_removed,Weekend_Sleep_Difference_Hours,float64,False,False,True
scientific_proxy_removed,Nap_Frequency_Per_Week,int64,False,False,True
scientific_proxy_removed,Screen_Time_Before_Bed_Hours,float64,False,False,True
scientific_proxy_removed,Exercise_Frequency_Per_Week,int64,False,False,True
scientific_proxy_removed,Exercise_Duration_Minutes,int64,False,False,True
scientific_proxy_removed,Exercise_Type,str,False,False,True
