feature_1,feature_2,correlation,absolute_correlation,above_0p8
Health_Score,Healthy_Aging_Score,0.9382345042475473,0.9382345042475473,True
Working_Hours_Per_Day,Sitting_Hours_Per_Day,0.873363912852956,0.873363912852956,True
Weight_kg,BMI,0.8434349168769906,0.8434349168769906,True
Exercise_Frequency_Per_Week,Daily_Steps,0.834759445192225,0.834759445192225,True
Systolic_BP,Diastolic_BP,0.8320486018921923,0.8320486018921923,True
Energy_Level_Score,Fatigue_Level_Score,-0.8092117058498597,0.8092117058498597,True
Stress_Level,Anxiety_Score,0.7489338983707221,0.7489338983707221,False
Mood_Score,Life_Satisfaction_Score,0.7047253427117162,0.7047253427117162,False
Stress_Level,Depression_Risk_Score,0.6816248737559064,0.6816248737559064,False
Mood_Score,Anxiety_Score,-0.6733560013938463,0.6733560013938463,False
Mood_Score,Depression_Risk_Score,-0.6708581660788747,0.6708581660788747,False
Stress_Level,Mood_Score,-0.6551226113643998,0.6551226113643998,False
Age,Systolic_BP,0.6397425824669398,0.6397425824669398,False
Energy_Level_Score,Health_Score,0.6263608881209598,0.6263608881209598,False
Anxiety_Score,Depression_Risk_Score,0.6212511033299944,0.6212511033299944,False
Stress_Level,Life_Satisfaction_Score,-0.6153898766910804,0.6153898766910804,False
Sleep_Quality_Score,Fatigue_Level_Score,-0.6146152706392795,0.6146152706392795,False
Depression_Risk_Score,Life_Satisfaction_Score,-0.606082101386931,0.606082101386931,False
Mood_Score,Health_Score,0.5996295405848411,0.5996295405848411,False
Exercise_Frequency_Per_Week,Protein_Intake_Grams,0.5955761142875408,0.5955761142875408,False
Energy_Level_Score,Mood_Score,0.587237145089139,0.587237145089139,False
Anxiety_Score,Life_Satisfaction_Score,-0.586753603625945,0.586753603625945,False
Exercise_Frequency_Per_Week,Water_Intake_Liters,0.5850680788374863,0.5850680788374863,False
Sleep_Quality_Score,Mood_Score,0.5714051916563572,0.5714051916563572,False
Energy_Level_Score,Anxiety_Score,-0.5535948480479577,0.5535948480479577,False
Fatigue_Level_Score,Health_Score,-0.5502226636166486,0.5502226636166486,False
Fatigue_Level_Score,Mood_Score,-0.549335869343743,0.549335869343743,False
Anxiety_Score,Health_Score,-0.5391297003438883,0.5391297003438883,False
Energy_Level_Score,Healthy_Aging_Score,0.5373150772277947,0.5373150772277947,False
Exercise_Frequency_Per_Week,Energy_Level_Score,0.5372312540303971,0.5372312540303971,False
Energy_Level_Score,Depression_Risk_Score,-0.5369157093413841,0.5369157093413841,False
Age,Diastolic_BP,0.531553691395848,0.531553691395848,False
Exercise_Frequency_Per_Week,Health_Score,0.531332804376695,0.531332804376695,False
Fatigue_Level_Score,Depression_Risk_Score,0.520410238265356,0.520410238265356,False
Depression_Risk_Score,Health_Score,-0.5095676803782543,0.5095676803782543,False
Sleep_Quality_Score,Energy_Level_Score,0.5089466146160242,0.5089466146160242,False
Mood_Score,Healthy_Aging_Score,0.5080159976354066,0.5080159976354066,False
Height_cm,Weight_kg,0.5072311154185445,0.5072311154185445,False
Energy_Level_Score,Life_Satisfaction_Score,0.5041222716155058,0.5041222716155058,False
Daily_Steps,Protein_Intake_Grams,0.5007593881699914,0.5007593881699914,False
Life_Satisfaction_Score,Health_Score,0.4994108345602363,0.4994108345602363,False
Daily_Steps,Water_Intake_Liters,0.4958885776738763,0.4958885776738763,False
Fatigue_Level_Score,Anxiety_Score,0.4958110972285356,0.4958110972285356,False
Daily_Steps,Health_Score,0.49100466316241914,0.49100466316241914,False
Exercise_Frequency_Per_Week,Daily_Calorie_Intake,0.4906701449190526,0.4906701449190526,False
BMI,Healthy_Aging_Score,-0.48595513573625404,0.48595513573625404,False
Sleep_Quality_Score,Health_Score,0.47889159910480067,0.47889159910480067,False
Sleep_Quality_Score,Depression_Risk_Score,-0.47470427530710135,0.47470427530710135,False
BMI,Health_Score,-0.47406339268949554,0.47406339268949554,False
