feature,vif,severity
Weight_kg,97.34225701718651,high
BMI,75.41775053924783,high
Health_Score,30.749804584289695,high
Height_cm,28.115078405926162,high
Healthy_Aging_Score,23.623693797433965,high
Exercise_Frequency_Per_Week,7.260816151473553,attention
Stress_Level,4.633707105803318,low
Energy_Level_Score,4.499375260892267,low
Systolic_BP,4.336534656988573,low
Working_Hours_Per_Day,4.2474628272529555,low
Sitting_Hours_Per_Day,4.245815653148488,low
Fatigue_Level_Score,3.8914514705544065,low
Daily_Steps,3.6367086039492444,low
Mood_Score,3.5093702665551625,low
Sleep_Quality_Score,3.3627586359088433,low
Diastolic_BP,3.2645805949462887,low
Anxiety_Score,3.0693409213074365,low
Age,2.7815824443037442,low
Depression_Risk_Score,2.7049719866870583,low
Life_Satisfaction_Score,2.6869525844813484,low
Fast_Food_Meals_Per_Week,1.7050199063577292,low
Focus_Concentration_Score,1.6693574878218196,low
Blood_Sugar_Level,1.6141575234073255,low
Water_Intake_Liters,1.5874975197907517,low
Immune_Health_Score,1.5587462617044279,low
Protein_Intake_Grams,1.557204362063761,low
Daily_Calorie_Intake,1.5234457620083903,low
Cholesterol_Level,1.396965180404093,low
Social_Interaction_Score,1.3723961359452181,low
Resting_Heart_Rate,1.3418074903349246,low
Outdoor_Time_Hours,1.2954306934937778,low
Screen_Time_Before_Bed_Hours,1.291720957657992,low
Vegetable_Intake_Per_Day,1.1448392705381434,low
Sugary_Drinks_Per_Week,1.1152403493670258,low
Exercise_Duration_Minutes,1.0897557184344926,low
Fruit_Intake_Per_Day,1.0626231717344916,low
Sleep_Duration_Hours,1.0469635138588005,low
Number_of_Night_Awakenings,1.0358372873095685,low
Breakfast_Regularity_Score,1.008035945554287,low
Nap_Frequency_Per_Week,1.0054644866973794,low
Weekend_Sleep_Difference_Hours,1.0039058211609313,low
