feature,dtype,role,pearson_correlation,absolute_correlation,association_type,association_strength,allowed_in_proxy_inclusive,allowed_in_proxy_removed
Healthy_Aging_Score,float64,strong_composite_proxy,0.9382345042475453,0.9382345042475453,univariate_linear_r2,0.8802839849606362,True,False
Fitness_Level,str,deterministic_target_binning,,,eta_squared,0.8400894926106649,False,False
Wellness_Category,str,deterministic_target_binning,,,eta_squared,0.8400894926106649,False,False
Energy_Level_Score,float64,candidate_predictor,0.6263608881209581,0.6263608881209581,univariate_linear_r2,0.3923279621676756,True,True
Mood_Score,float64,candidate_predictor,0.5996295405848383,0.5996295405848383,univariate_linear_r2,0.35955558594198433,True,True
Fatigue_Level_Score,float64,candidate_predictor,-0.5502226636166514,0.5502226636166514,univariate_linear_r2,0.302744979557403,True,True
Anxiety_Score,float64,candidate_predictor,-0.5391297003438881,0.5391297003438881,univariate_linear_r2,0.2906608337928903,True,True
Exercise_Frequency_Per_Week,int64,candidate_predictor,0.5313328043766925,0.5313328043766925,univariate_linear_r2,0.28231454900680086,True,True
Productivity_Score,float64,candidate_predictor,0.5175844587968914,0.5175844587968914,univariate_linear_r2,0.2678936719880707,True,True
Depression_Risk_Score,float64,candidate_predictor,-0.5095676803782516,0.5095676803782516,univariate_linear_r2,0.2596592208860724,True,True
Life_Satisfaction_Score,float64,candidate_predictor,0.4994108345602383,0.4994108345602383,univariate_linear_r2,0.24941118167615361,True,True
Daily_Steps,int64,candidate_predictor,0.4910046631624195,0.4910046631624195,univariate_linear_r2,0.24108557924724094,True,True
Sleep_Quality_Score,float64,candidate_predictor,0.47889159910480084,0.47889159910480084,univariate_linear_r2,0.22933716369315338,True,True
BMI,float64,candidate_predictor,-0.4740633926894953,0.4740633926894953,univariate_linear_r2,0.22473610028827473,True,True
Obesity_Risk,str,candidate_predictor,,,eta_squared,0.2041584534913436,True,True
Stress_Level,float64,candidate_predictor,-0.43459044147327325,0.43459044147327325,univariate_linear_r2,0.1888688518199344,True,True
Cardiovascular_Risk,str,candidate_predictor,,,eta_squared,0.176438825699175,True,True
Weight_kg,float64,candidate_predictor,-0.39522803697993414,0.39522803697993414,univariate_linear_r2,0.15620520121501225,True,True
Focus_Concentration_Score,float64,candidate_predictor,0.38025912557716635,0.38025912557716635,univariate_linear_r2,0.1445970025847113,True,True
Water_Intake_Liters,float64,candidate_predictor,0.36853888474872637,0.36853888474872637,univariate_linear_r2,0.1358209095718349,True,True
Immune_Health_Score,float64,candidate_predictor,0.34820236362707147,0.34820236362707147,univariate_linear_r2,0.1212448860354789,True,True
Protein_Intake_Grams,float64,candidate_predictor,0.31994251500972953,0.31994251500972953,univariate_linear_r2,0.1023632129107509,True,True
Sleep_Time,str,candidate_predictor,,,eta_squared,0.08377794421322654,True,True
Resting_Heart_Rate,int64,candidate_predictor,-0.27964484193144185,0.27964484193144185,univariate_linear_r2,0.07820123761886089,True,True
Systolic_BP,int64,candidate_predictor,-0.273433374323842,0.273433374323842,univariate_linear_r2,0.07476581019412232,True,True
Cholesterol_Level,float64,candidate_predictor,-0.2544300218153333,0.2544300218153333,univariate_linear_r2,0.06473463600095097,True,True
Outdoor_Time_Hours,float64,candidate_predictor,0.25373888096543595,0.25373888096543595,univariate_linear_r2,0.06438341971359174,True,True
Sleep_Disorder_Risk,str,candidate_predictor,,,eta_squared,0.06379642883293829,True,True
Hypertension_Risk,str,candidate_predictor,,,eta_squared,0.05879196680108352,True,True
Wake_Up_Time,str,candidate_predictor,,,eta_squared,0.05404857031822848,True,True
Diastolic_BP,int64,candidate_predictor,-0.23091025765735013,0.23091025765735013,univariate_linear_r2,0.05331954709138387,True,True
Fast_Food_Meals_Per_Week,int64,candidate_predictor,-0.20145761832030712,0.20145761832030712,univariate_linear_r2,0.04058517197929057,True,True
Workout_Intensity,str,candidate_predictor,,,eta_squared,0.03147087365933152,True,True
Morning_Workout,str,candidate_predictor,,,eta_squared,0.030328123085756414,True,True
Blood_Sugar_Level,float64,candidate_predictor,-0.15357690205231853,0.15357690205231853,univariate_linear_r2,0.023585864843987392,True,True
Smoking_Status,str,candidate_predictor,,,eta_squared,0.02093356620407945,True,True
Exercise_Duration_Minutes,int64,candidate_predictor,0.14427135807934088,0.14427135807934088,univariate_linear_r2,0.0208142247620573,True,True
Age,int64,candidate_predictor,-0.13322279924835911,0.13322279924835911,univariate_linear_r2,0.017748314239568574,True,True
Diabetes_Risk,str,candidate_predictor,,,eta_squared,0.017517877264618748,True,True
